"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","293.65","289.93","293.68","289.52","25.25M","0.73%"
"2019년 12월 30일","291.52","289.46","292.69","285.22","36.06M","0.59%"
"2019년 12월 27일","289.80","291.12","293.97","288.12","36.59M","-0.04%"
"2019년 12월 26일","289.91","284.82","289.98","284.70","23.33M","1.98%"
"2019년 12월 24일","284.27","284.69","284.89","282.92","12.12M","0.10%"
"2019년 12월 23일","284.00","280.53","284.25","280.37","24.68M","1.63%"
"2019년 12월 20일","279.44","282.23","282.65","278.56","69.03M","-0.21%"
"2019년 12월 19일","280.02","279.50","281.18","278.95","24.63M","0.10%"
"2019년 12월 18일","279.74","279.80","281.90","279.12","29.02M","-0.24%"
"2019년 12월 17일","280.41","279.57","281.77","278.80","28.58M","0.20%"
"2019년 12월 16일","279.86","277.00","280.79","276.98","32.08M","1.71%"
"2019년 12월 13일","275.15","271.46","275.30","270.93","33.43M","1.36%"
"2019년 12월 12일","271.46","267.78","272.56","267.32","34.44M","0.25%"
"2019년 12월 11일","270.77","268.81","271.10","268.50","19.72M","0.85%"
"2019년 12월 10일","268.48","268.60","270.07","265.86","22.63M","0.58%"
"2019년 12월 09일","266.92","270.00","270.80","264.91","32.18M","-1.40%"
"2019년 12월 06일","270.71","267.48","271.00","267.30","26.55M","1.93%"
"2019년 12월 05일","265.58","263.79","265.89","262.73","18.66M","1.47%"
"2019년 12월 04일","261.74","261.07","263.31","260.68","16.81M","0.88%"
"2019년 12월 03일","259.45","258.31","259.53","256.29","29.38M","-1.78%"
"2019년 12월 02일","264.16","267.27","268.25","263.45","23.69M","-1.16%"
"2019년 11월 29일","267.25","266.60","268.00","265.90","11.65M","-0.22%"
"2019년 11월 27일","267.84","265.58","267.98","265.31","16.39M","1.34%"
"2019년 11월 26일","264.29","266.94","267.16","262.50","26.33M","-0.78%"
"2019년 11월 25일","266.37","262.71","266.44","262.52","21.03M","1.75%"
"2019년 11월 22일","261.78","262.59","263.18","260.84","16.33M","-0.09%"
"2019년 11월 21일","262.01","263.69","264.00","261.18","30.35M","-0.45%"
"2019년 11월 20일","263.19","265.54","266.08","260.40","26.61M","-1.16%"
"2019년 11월 19일","266.29","267.90","268.00","265.39","19.07M","-0.30%"
"2019년 11월 18일","267.10","265.80","267.43","264.23","21.70M","0.50%"
"2019년 11월 15일","265.76","263.68","265.78","263.01","25.09M","1.19%"
"2019년 11월 14일","262.64","263.75","264.88","262.10","22.40M","-0.69%"
"2019년 11월 13일","264.47","261.13","264.78","261.07","25.82M","0.96%"
"2019년 11월 12일","261.96","261.55","262.79","260.92","21.85M","-0.09%"
"2019년 11월 11일","262.20","258.30","262.47","258.28","20.51M","0.79%"
"2019년 11월 08일","260.14","258.69","260.44","256.85","17.52M","0.27%"
"2019년 11월 07일","259.43","258.74","260.35","258.11","23.74M","0.85%"
"2019년 11월 06일","257.24","256.77","257.49","255.37","18.97M","0.04%"
"2019년 11월 05일","257.13","257.05","258.19","256.32","19.97M","-0.14%"
"2019년 11월 04일","257.50","257.33","257.85","255.38","25.82M","0.66%"
"2019년 11월 01일","255.82","249.54","255.93","249.16","37.78M","2.84%"
"2019년 10월 31일","248.76","247.24","249.17","237.26","34.79M","2.26%"
"2019년 10월 30일","243.26","244.76","245.30","241.21","31.13M","-0.01%"
