"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","97.05","96.47","98.54","93.32","2.06M","0.61%"
"2019년 12월 30일","96.47","100.13","102.85","92.74","2.42M","-3.65%"
"2019년 12월 29일","100.13","94.07","101.33","92.63","2.18M","6.45%"
"2019년 12월 28일","94.06","90.19","96.08","89.74","2.00M","4.30%"
"2019년 12월 27일","90.19","87.27","91.61","86.18","1.96M","3.34%"
"2019년 12월 26일","87.27","85.91","91.71","85.03","1.57M","1.58%"
"2019년 12월 25일","85.91","86.91","87.31","84.61","1.65M","-1.14%"
"2019년 12월 24일","86.91","85.91","87.22","85.33","1.77M","1.13%"
"2019년 12월 23일","85.93","88.24","93.58","85.47","1.95M","-2.61%"
"2019년 12월 22일","88.24","84.79","88.44","84.08","1.54M","4.06%"
"2019년 12월 21일","84.79","88.13","88.84","84.40","1.61M","-3.79%"
"2019년 12월 20일","88.13","84.56","88.84","83.41","1.62M","4.25%"
"2019년 12월 19일","84.54","85.97","87.35","81.58","1.67M","-1.66%"
"2019년 12월 18일","85.97","80.93","87.00","76.69","2.17M","6.22%"
"2019년 12월 17일","80.93","89.00","89.24","80.27","2.14M","-9.06%"
"2019년 12월 16일","88.99","93.06","93.24","87.79","1.57M","-4.38%"
"2019년 12월 15일","93.07","92.53","93.48","91.31","1.66M","0.58%"
"2019년 12월 14일","92.54","93.26","94.32","91.65","1.68M","-0.75%"
"2019년 12월 13일","93.24","92.54","93.87","91.71","1.68M","0.75%"
"2019년 12월 12일","92.55","94.65","95.10","91.45","1.97M","-2.22%"
"2019년 12월 11일","94.65","95.63","95.96","94.14","1.65M","-1.02%"
"2019년 12월 10일","95.62","95.26","97.50","94.23","1.48M","0.38%"
"2019년 12월 09일","95.26","97.01","97.26","94.27","1.55M","-1.80%"
"2019년 12월 08일","97.01","95.62","97.47","94.39","1.43M","1.45%"
"2019년 12월 07일","95.62","96.85","97.63","94.25","1.59M","-1.27%"
"2019년 12월 06일","96.85","94.89","97.02","93.73","1.61M","2.05%"
"2019년 12월 05일","94.90","94.64","98.12","93.43","1.74M","0.28%"
"2019년 12월 04일","94.64","95.63","102.86","93.38","2.09M","-1.03%"
"2019년 12월 03일","95.63","100.31","101.76","95.15","1.70M","-4.67%"
