,AED,AUD,BHD,CAD,CHF,CNH,DKK,EUR,GBP,HKD,IDR(100),JPY(100),KWD,MYR,NOK,NZD,SAR,SEK,SGD,THB,USD,BITCOIN,TETHER,KOSPI200,KOSDAQ,SAMSUNG,S&P500,DOWJONES,NASDAQ,MICROSOFT,APPLE,US_LIBOR,KOR_LIBOR,US_BOND_RATE_1YEARS,US_BOND_RATE_2YEARS,US_BOND_RATE_10YEARS,HYUNDAI_CAR,IEF_US,GLD_US,HSI,NAVER,SK_HYNIX,AMAZON,TESLA,NIKKEI,FTSE,ETHEREUM,ETHEREUM_CLASSIC,EOS,RIPPLE,STELLA
2018-01-09,290.01,835.22,2825.46,857.51,1089.89,164.31,171.19,1274.78,1445.42,136.2,7.93,941.28,3533.59,266.5,131.87,764.07,284.04,129.8,799.46,799.46,1068.2,14778.5,1.00419,330.25,829.99,50400.0,2751.29,25385.8,7163.58,88.22,174.33,1.7045700000000001,1.65,1.785,1.972,2.551,152500.0,45.4,124.73,31011.41,188800.0,76900.0,1252.7,333.69,23849.99,7731.02,1283.7,37.7706,9.23,2.07,0.56237
2018-01-10,290.53,834.74,2830.28,855.97,1084.89,164.08,171.02,1273.64,1444.59,136.44,7.94,947.31,3539.89,266.18,131.58,763.19,284.52,129.59,798.97,798.97,1070.6,15043.0,1.0023,327.61,834.91,48840.0,2748.23,25369.13,7153.57,87.82,174.29,1.70911,1.65,1.78,1.976,2.559,155500.0,44.71,125.03,31073.72,185600.0,72900.0,1254.33,334.8,23788.2,7748.51,1248.0,36.9539,11.2,1.94,0.55799
2018-01-11,291.5,839.86,2840.05,853.42,1094.73,163.86,171.84,1279.75,1446.36,136.88,7.97,961.17,3552.19,267.37,132.61,771.23,285.5,130.6,802.41,802.41,1070.9,13535.4,1.00616,325.67,852.51,48240.0,2767.56,25574.73,7211.78,88.08,175.28,1.72019,1.64,1.7719999999999998,1.9809999999999999,2.537,155000.0,45.65,125.44,31120.39,183400.0,72600.0,1276.68,337.95,23710.43,7762.94,1135.5,33.2559,11.277,1.94,0.55811
2018-01-12,291.64,844.96,2842.96,855.49,1097.54,164.16,173.08,1288.92,1450.08,136.93,7.99,962.66,3550.19,268.64,133.69,778.17,285.63,131.69,805.78,805.78,1066.0,13886.7,1.00389,326.72,873.05,48200.0,2786.24,25803.19,7261.06,89.6,177.09,1.7215200000000002,1.64,1.7819999999999998,2.002,2.55,154000.0,45.71,126.96,31412.54,181800.0,74400.0,1305.2,336.22,23653.82,7778.64,1257.2,36.0118,13.77,2.01,0.67064
2018-01-16,288.94,845.27,2816.54,854.3,1102.02,164.87,174.75,1301.79,1464.01,135.66,7.96,960.02,3529.67,268.28,134.67,774.22,282.98,132.38,802.46,802.46,1064.3,11362.0,1.03035,330.02,901.23,50000.0,2776.42,25792.86,7223.69,88.35,176.19,1.7340799999999998,1.64,1.7819999999999998,2.0180000000000002,2.539,158000.0,44.97,127.17,31904.75,180600.0,74400.0,1304.86,340.06,23951.81,7755.93,1020.1,28.9106,10.033,1.13,0.43
2018-01-17,289.69,847.0,2823.7,855.68,1108.68,165.37,175.15,1304.36,1467.31,136.0,7.98,963.9,3539.82,268.92,135.08,773.21,283.72,132.38,805.33,805.33,1064.7,11192.3,1.0208899999999999,329.19,886.58,49620.0,2802.56,26115.65,7298.28,90.14,179.1,1.73918,1.64,1.776,2.0469999999999997,2.5869999999999997,157500.0,45.85,126.14,31983.41,177600.0,74100.0,1295.0,347.16,23868.34,7725.43,1017.5,29.7831,10.152,1.28,0.475
2018-01-18,290.18,848.7,2828.48,855.93,1104.0,165.65,174.29,1297.61,1472.51,136.31,7.98,957.76,3545.81,269.55,135.11,774.2,284.19,132.27,803.44,803.44,1068.5,11245.4,1.02209,329.13,898.19,49900.0,2798.03,26017.81,7296.05,90.1,179.26,1.7447,1.64,1.771,2.043,2.6239999999999997,155000.0,45.5,125.86,32121.94,180600.0,75200.0,1293.32,344.57,23763.37,7700.96,994.81,30.2559,10.187,1.53,0.492
2018-01-19,291.16,856.59,2836.76,861.83,1115.47,166.07,175.85,1309.27,1486.2,136.78,8.01,963.38,3556.84,270.36,136.37,781.2,285.15,133.43,809.78,809.78,1068.5,11580.2,1.00555,329.52,879.99,49320.0,2810.3,26071.72,7336.38,90.0,178.46,1.74447,1.64,1.776,2.069,2.661,162000.0,46.06,126.42,32254.89,176200.0,73300.0,1294.58,350.02,23808.06,7730.79,1032.6,32.2848,11.063,1.54,0.5
2018-01-22,290.58,853.73,2830.81,854.63,1109.81,166.74,175.73,1308.14,1482.16,136.54,8.02,964.62,3551.16,271.03,135.9,777.15,284.59,132.97,808.56,808.56,1067.6,10864.8,0.9927469999999999,326.27,873.09,48240.0,2832.97,26214.6,7408.03,91.61,177.0,1.7413,1.64,1.781,2.069,2.656,162500.0,46.25,126.65,32393.41,178600.0,71100.0,1327.31,351.56,23816.33,7715.44,995.08,29.6157,13.385,1.35,0.478
2018-01-23,291.01,856.67,2836.71,858.83,1111.06,166.86,176.03,1310.42,1494.86,136.71,8.01,963.49,3556.36,271.64,136.07,782.92,285.01,133.19,810.29,810.29,1068.6,10903.2,1.00714,330.93,894.43,49160.0,2839.13,26210.81,7460.29,91.9,177.04,1.7452,1.64,1.761,2.04,2.617,161000.0,46.13,127.28,32930.7,177800.0,71300.0,1362.54,352.79,24124.15,7731.83,982.98,28.5579,12.878,1.34,0.484
2018-01-24,291.23,855.23,2837.63,860.89,1116.83,167.19,176.69,1315.36,1497.63,136.81,8.03,970.12,3560.33,272.43,136.7,786.34,285.23,133.57,811.98,811.98,1071.7,11452.3,1.00486,330.91,894.77,49340.0,2837.54,26252.12,7415.06,91.82,174.22,1.75246,1.64,1.771,2.08,2.648,156500.0,45.98,128.83,32958.69,175600.0,72400.0,1357.51,345.89,23940.78,7643.43,1063.2,29.9405,13.968,1.36,0.56871
2018-01-25,291.47,862.1,2840.01,867.13,1131.95,167.44,178.29,1327.49,1524.11,136.94,8.04,980.49,3568.67,273.64,138.08,784.8,285.47,134.96,817.91,817.91,1065.3,11203.0,0.999067,334.08,898.6,50260.0,2839.25,26392.79,7411.16,92.33,171.11,1.7603099999999998,1.64,1.776,2.092,2.6239999999999997,158500.0,45.0,127.97,32654.45,182600.0,75800.0,1377.95,337.64,23669.49,7615.84,1048.2,29.3946,14.251,1.31,0.608
2018-01-26,289.08,850.53,2816.4,856.94,1126.89,167.42,176.63,1314.86,1500.08,135.81,7.99,968.48,3544.43,273.25,136.97,774.83,283.1,133.91,809.04,809.04,1065.7,11118.1,0.9920979999999999,335.38,913.12,50780.0,2872.87,26616.71,7505.77,94.06,171.51,1.7669,1.64,1.786,2.12,2.66,152500.0,44.83,128.07,33154.12,185400.0,75500.0,1402.05,342.85,23631.88,7665.54,1047.0,28.8727,14.239,1.22,0.6271
2018-01-29,289.91,863.07,2824.48,864.08,1139.8,168.15,177.65,1322.53,1506.59,136.19,8.0,979.85,3554.07,275.11,138.43,782.95,283.93,135.21,814.19,814.19,1062.4,11244.8,0.99629,338.05,927.05,51220.0,2853.53,26439.48,7466.51,93.92,167.96,1.77225,1.64,1.781,2.12,2.699,154500.0,43.59,127.35,32966.89,186400.0,75300.0,1417.68,349.53,23629.34,7671.53,1175.0,31.1715,13.55,1.27,0.57936
2018-01-31,291.74,866.41,2842.4,868.46,1146.23,168.99,178.58,1329.09,1516.12,137.01,7.98,985.02,3575.12,274.67,138.77,785.57,285.71,135.83,816.75,816.75,1071.4,10265.4,0.9899540000000001,333.38,913.57,49900.0,2823.81,26149.39,7411.48,95.01,167.43,1.77777,1.64,1.8969999999999998,2.149,2.7119999999999997,162000.0,42.88,127.65,32887.27,182000.0,73500.0,1450.89,354.31,23098.29,7533.55,1118.08,28.7967,12.0082,1.14,0.53293
2018-02-01,291.59,863.33,2841.0,870.1,1149.64,169.26,178.68,1329.86,1520.71,136.91,8.0,980.68,3573.93,274.54,138.92,789.27,285.58,135.89,816.47,816.47,1069.6,9181.1,0.993109,333.36,908.2,49820.0,2821.98,26186.71,7385.86,94.26,167.78,1.78698,1.64,1.895,2.161,2.782,160500.0,42.74,128.07,32642.09,184600.0,74400.0,1390.0,349.25,23486.11,7490.39,1033.55,25.0983,10.1395,0.9598,0.45406
2018-02-02,291.62,860.84,2842.55,873.26,1156.51,170.09,179.95,1339.57,1527.55,136.98,7.98,978.62,3574.15,274.57,140.12,792.56,285.6,136.52,818.57,818.57,1072.5,8893.2,0.978577,327.01,899.47,47700.0,2762.13,25520.96,7240.95,91.78,160.5,1.78902,1.64,1.881,2.145,2.841,162500.0,41.43,126.39,32601.78,181000.0,72200.0,1429.95,343.75,23274.53,7443.43,920.85,23.3093,10.2983,0.901,0.41505
2018-02-05,293.14,850.59,2855.82,864.82,1154.45,171.15,179.8,1338.23,1516.53,137.66,8.0,977.26,3592.95,277.0,138.87,784.32,287.11,136.01,814.54,814.54,1076.7,6938.5,0.995898,323.29,858.22,47920.0,2648.94,24345.75,6967.53,88.0,156.49,1.79345,1.64,1.858,2.04,2.7089999999999996,159000.0,39.72,126.71,32245.22,175800.0,70200.0,1390.0,333.13,22682.08,7334.98,696.86,16.5391,7.0812,0.6787,0.32366999999999996
2018-02-06,296.7,858.65,2891.25,869.51,1168.56,172.79,181.18,1348.68,1521.91,139.35,8.06,998.31,3635.45,279.47,139.08,793.21,290.6,136.64,824.29,824.29,1089.8,7701.2,1.0106600000000001,318.01,858.17,47420.0,2695.14,24912.77,7115.88,91.33,163.03,1.7907,1.64,1.858,2.109,2.805,157500.0,41.05,125.38,30595.42,170200.0,70200.0,1442.84,333.97,21610.24,7141.4,783.83,19.1816,8.2833,0.763,0.36328
2018-02-07,297.94,864.83,2902.5,875.55,1169.37,173.7,182.03,1354.85,1527.15,139.97,8.07,997.58,3651.93,279.51,140.06,802.83,291.8,137.66,829.96,829.96,1094.3,7594.7,0.995519,310.48,829.96,45800.0,2681.66,24893.35,7051.98,89.61,159.54,1.7998900000000002,1.64,1.8940000000000001,2.126,2.8339999999999996,157500.0,41.0,124.79,30323.2,168600.0,71100.0,1416.78,345.0,21645.37,7279.42,753.18,18.1491,7.6936,0.7129,0.33171
2018-02-09,296.15,846.04,2886.48,863.64,1162.3,172.17,179.01,1332.45,1514.33,139.09,8.0,1000.78,3622.02,277.08,137.27,784.9,290.06,134.06,816.7,816.7,1087.8,8699.8,1.0179200000000002,304.83,842.6,44700.0,2619.55,24190.9,6874.49,88.18,156.41,1.82,1.64,1.881,2.073,2.8569999999999998,155000.0,39.46,124.77,29507.42,161600.0,73400.0,1339.6,310.42,21382.62,7092.43,877.85,25.7209,9.5095,0.9162,0.39192
2018-02-13,294.96,851.71,2873.82,861.07,1153.6,171.7,178.88,1332.26,1499.59,138.56,7.93,996.64,3607.49,275.08,136.92,786.93,288.87,134.42,819.02,819.02,1083.4,8539.2,1.00146,310.87,829.39,47540.0,2662.94,24640.45,7013.51,89.83,164.34,1.83875,1.64,1.9380000000000002,2.11,2.833,152500.0,40.04,126.08,29839.53,161000.0,77700.0,1414.51,323.66,21244.68,7168.01,841.38,33.1874,8.9294,0.9871,0.39773000000000003
2018-02-14,294.81,850.65,2873.52,859.88,1157.52,171.06,179.48,1337.2,1503.58,138.44,7.93,1004.13,3610.66,274.93,137.61,787.52,288.73,134.91,818.2,818.2,1082.8,9476.3,1.00366,314.4,848.03,49000.0,2698.63,24893.49,7143.61,90.81,167.37,1.85,1.64,1.969,2.1719999999999997,2.9130000000000003,154500.0,40.76,128.23,30515.6,162200.0,77600.0,1451.05,322.31,21154.17,7213.97,919.67,34.6871,9.8348,1.13,0.44813000000000003
2018-02-20,290.76,845.11,2833.04,850.25,1149.69,169.52,177.92,1325.01,1495.15,136.54,7.88,1001.74,3564.04,274.51,137.23,787.6,284.78,133.69,813.25,813.25,1068.0,11238.7,0.999762,312.83,864.41,47400.0,2716.26,24964.75,7234.31,92.72,171.85,1.9039400000000002,1.64,2.0,2.2230000000000003,2.891,153500.0,40.72,126.24,30873.63,161400.0,75500.0,1468.35,334.77,21925.1,7246.77,884.51,36.6131,8.8995,1.03,0.39011999999999997
2018-02-21,291.39,843.29,2838.99,846.15,1142.87,169.53,177.28,1320.27,1497.88,136.79,7.86,997.39,3574.22,274.15,136.46,786.08,285.39,132.17,811.11,811.11,1070.3,10473.0,1.0006,314.47,875.58,47280.0,2701.33,24797.78,7218.23,91.49,171.07,1.91975,1.64,2.008,2.27,2.952,160000.0,40.53,125.66,31431.89,166600.0,76900.0,1482.92,333.3,21970.81,7281.57,839.1,34.5356,8.3138,0.9476,0.37551999999999996
2018-02-22,292.77,838.68,2853.31,846.79,1144.48,169.53,177.3,1320.2,1495.9,137.41,7.9,998.0,3585.29,275.51,136.57,785.94,286.72,132.37,811.91,811.91,1075.3,9841.7,1.00128,312.17,870.22,46760.0,2703.96,24962.48,7210.09,91.73,172.5,1.94363,1.64,2.01,2.254,2.9189999999999996,157000.0,40.25,126.3,30965.68,165400.0,75900.0,1485.34,346.17,21736.44,7252.39,803.66,31.429,7.7967,0.8888,0.34678000000000003
2018-02-23,294.82,849.37,2872.57,852.61,1161.1,170.74,179.36,1335.81,1511.73,138.4,7.91,1015.04,3609.55,276.46,137.99,795.01,288.76,133.46,821.19,821.19,1082.9,10170.4,1.00319,316.81,874.78,47220.0,2747.3,25309.99,7337.39,94.06,175.5,1.95625,1.64,2.005,2.242,2.866,159000.0,40.4,126.14,31267.17,165800.0,77300.0,1500.0,352.05,21892.78,7244.41,856.65,36.1818,8.262,0.9407,0.36712
2018-02-26,293.62,846.03,2860.67,853.21,1151.44,170.2,178.08,1325.96,1506.77,137.86,7.89,1008.42,3595.6,275.23,137.46,786.17,287.57,131.89,816.92,816.92,1078.5,10285.1,1.00504,317.34,874.43,47380.0,2779.6,25709.27,7421.46,95.42,178.97,1.9841900000000001,1.64,2.015,2.23,2.864,161000.0,40.48,126.45,31498.6,162000.0,77500.0,1521.95,357.42,22153.63,7289.58,866.99,35.2831,7.978,0.9282,0.35443
2018-02-27,292.33,842.75,2849.22,846.53,1144.43,169.98,177.53,1321.89,1499.26,137.24,7.86,1003.22,3580.55,275.1,137.22,783.16,286.3,131.63,815.91,815.91,1073.7,10594.4,1.0012,316.83,874.01,47380.0,2744.28,25410.03,7330.35,94.2,178.39,2.00625,1.64,2.025,2.266,2.9010000000000002,161000.0,39.45,125.13,31268.66,160800.0,78700.0,1511.98,350.99,22389.86,7282.45,871.44,35.6429,8.3839,0.9252,0.35603
2018-02-28,291.6,834.58,2841.0,838.59,1140.45,170.2,175.98,1310.42,1489.65,136.82,7.83,997.25,3569.76,274.05,136.14,774.87,285.57,130.21,808.94,808.94,1071.0,10333.9,0.998792,312.86,857.06,47060.0,2713.83,25029.2,7273.01,93.77,178.12,2.0171900000000003,1.64,2.07,2.258,2.864,161500.0,38.31,125.0,30844.72,160600.0,76800.0,1512.45,343.06,22068.24,7231.91,852.49,33.2884,8.2075,0.8857,0.33105999999999997
2018-03-02,294.55,839.39,2870.45,843.13,1148.7,170.99,178.22,1327.38,1489.83,138.21,7.87,1019.27,3601.05,275.4,137.94,785.41,288.48,131.16,818.01,818.01,1081.9,10827.7,1.00063,308.35,860.23,46020.0,2691.25,24538.06,7257.87,93.05,176.21,2.0251900000000003,1.64,2.048,2.246,2.8680000000000003,156000.0,38.58,125.39,30583.45,157200.0,77400.0,1500.25,335.12,21181.64,7069.9,856.09,30.5295,8.0215,0.8975,0.31823
