"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","2.5839","2.6265","2.6489","2.5670","167.46M","-1.61%"
"2019년 12월 30일","2.6262","2.6856","2.7194","2.6025","179.69M","-2.20%"
"2019년 12월 29일","2.6853","2.6268","2.7139","2.6172","179.63M","2.24%"
"2019년 12월 28일","2.6266","2.5697","2.6671","2.5669","215.86M","2.21%"
"2019년 12월 27일","2.5699","2.5177","2.5892","2.5087","211.94M","2.07%"
"2019년 12월 26일","2.5177","2.4799","2.6320","2.4646","231.64M","1.52%"
"2019년 12월 25일","2.4799","2.5418","2.5473","2.4562","198.30M","-2.44%"
"2019년 12월 24일","2.5420","2.5138","2.5692","2.4795","259.48M","1.10%"
"2019년 12월 23일","2.5142","2.5340","2.5989","2.4977","277.47M","-0.75%"
"2019년 12월 22일","2.5332","2.4427","2.5475","2.4355","209.25M","3.72%"
"2019년 12월 21일","2.4424","2.4874","2.4876","2.4296","131.95M","-1.81%"
"2019년 12월 20일","2.4874","2.4500","2.5418","2.4205","186.28M","1.53%"
"2019년 12월 19일","2.4500","2.4579","2.4971","2.3998","256.43M","-0.32%"
"2019년 12월 18일","2.4580","2.1947","2.5047","2.1622","381.65M","12.00%"
"2019년 12월 17일","2.1946","2.3703","2.3708","2.1540","392.17M","-7.42%"
"2019년 12월 16일","2.3704","2.5629","2.5662","2.2926","299.84M","-7.51%"
"2019년 12월 15일","2.5630","2.5654","2.5908","2.5394","136.05M","-0.09%"
"2019년 12월 14일","2.5652","2.6248","2.6295","2.5495","151.87M","-2.27%"
"2019년 12월 13일","2.6248","2.5827","2.6410","2.5737","154.75M","1.63%"
"2019년 12월 12일","2.5827","2.5767","2.6144","2.5127","205.30M","0.23%"
"2019년 12월 11일","2.5767","2.6033","2.6207","2.5489","142.51M","-1.03%"
"2019년 12월 10일","2.6034","2.6567","2.6640","2.5761","169.70M","-2.00%"
"2019년 12월 09일","2.6567","2.7399","2.7484","2.6156","166.41M","-3.04%"
"2019년 12월 08일","2.7398","2.7196","2.7661","2.6912","118.00M","0.74%"
