"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","4.5028","4.5948","4.7299","4.4433","34.60M","-2.00%"
"2019년 12월 30일","4.5948","4.6137","4.7496","4.5275","38.23M","-0.43%"
"2019년 12월 29일","4.6146","4.4161","4.7301","4.3959","37.12M","4.49%"
"2019년 12월 28일","4.4161","4.5107","4.5524","4.3865","24.64M","-2.10%"
"2019년 12월 27일","4.5107","4.4933","4.6558","4.3853","38.49M","0.39%"
"2019년 12월 26일","4.4931","4.0389","4.7033","4.0369","40.30M","11.25%"
"2019년 12월 25일","4.0389","3.9366","4.0838","3.9038","22.20M","2.60%"
"2019년 12월 24일","3.9366","4.0064","4.0117","3.6253","23.86M","-1.78%"
"2019년 12월 23일","4.0080","4.1937","4.2250","3.9719","26.17M","-4.42%"
"2019년 12월 22일","4.1932","4.0844","4.2407","4.0520","24.88M","2.66%"
"2019년 12월 21일","4.0845","4.0539","4.1637","3.9991","27.01M","0.77%"
"2019년 12월 20일","4.0532","3.7259","4.2100","3.6891","23.74M","8.78%"
"2019년 12월 19일","3.7260","3.7668","3.7921","3.6587","18.51M","-1.08%"
"2019년 12월 18일","3.7666","3.4686","3.8064","3.3735","36.43M","8.59%"
"2019년 12월 17일","3.4686","3.6812","3.7032","3.4283","23.48M","-5.77%"
"2019년 12월 16일","3.6811","3.8058","3.8429","3.6281","19.16M","-3.27%"
"2019년 12월 15일","3.8054","3.7983","3.8491","3.7594","11.57M","0.18%"
"2019년 12월 14일","3.7985","3.8594","3.8677","3.7464","12.19M","-1.57%"
"2019년 12월 13일","3.8592","3.8172","3.8860","3.8006","12.32M","1.10%"
"2019년 12월 12일","3.8173","3.7720","3.8500","3.7222","13.02M","1.20%"
"2019년 12월 11일","3.7720","3.7724","3.8006","3.7611","12.30M","-0.02%"
"2019년 12월 10일","3.7726","3.8001","3.8001","3.7361","19.87M","-0.72%"
"2019년 12월 09일","3.8001","3.8983","3.9212","3.7686","18.49M","-2.51%"
"2019년 12월 08일","3.8981","3.8611","3.9448","3.8253","17.59M","0.95%"
"2019년 12월 07일","3.8616","3.8859","3.9415","3.8511","17.77M","-0.63%"
"2019년 12월 06일","3.8859","3.7879","3.9015","3.7685","18.95M","2.58%"
"2019년 12월 05일","3.7880","3.7996","3.8464","3.7491","20.22M","-0.30%"
"2019년 12월 04일","3.7994","3.8882","3.9356","3.7776","24.25M","-2.28%"
"2019년 12월 03일","3.8879","3.8842","3.9757","3.8612","20.00M","0.09%"
"2019년 12월 02일","3.8843","3.9719","3.9858","3.8402","20.79M","-2.20%"
"2019년 12월 01일","3.9719","3.9678","4.0461","3.8669","21.22M","0.10%"
"2019년 11월 30일","3.9678","4.0859","4.1007","3.9058","18.94M","-2.89%"
"2019년 11월 29일","4.0859","3.9359","4.1133","3.8950","21.03M","3.81%"
"2019년 11월 28일","3.9358","3.9502","4.0101","3.8734","21.80M","-0.36%"
"2019년 11월 27일","3.9499","3.9177","4.0356","3.7285","24.56M","0.81%"
"2019년 11월 26일","3.9180","3.8184","3.9862","3.7796","21.18M","2.60%"
"2019년 11월 25일","3.8186","3.7030","3.9957","3.5468","30.66M","3.12%"
"2019년 11월 24일","3.7030","3.9888","4.0024","3.6630","29.90M","-7.16%"
"2019년 11월 23일","3.9886","3.8636","4.0740","3.7941","33.13M","3.23%"
"2019년 11월 22일","3.8636","4.1782","4.2306","3.5304","42.76M","-7.61%"
"2019년 11월 21일","4.1818","4.3378","4.4147","4.0506","28.61M","-3.60%"
"2019년 11월 20일","4.3378","4.3829","4.4413","4.3031","23.64M","-1.03%"
"2019년 11월 19일","4.3829","4.4129","4.5585","4.2488","29.92M","-0.67%"
"2019년 11월 18일","4.4123","4.6185","4.6605","4.2706","26.66M","-4.46%"
"2019년 11월 17일","4.6185","4.6522","4.7132","4.6077","17.72M","-0.73%"
"2019년 11월 16일","4.6523","4.5939","4.6783","4.5670","16.62M","1.27%"
"2019년 11월 15일","4.5938","4.7531","4.8078","4.5022","23.10M","-3.35%"
"2019년 11월 14일","4.7532","4.8494","4.8606","4.7035","17.73M","-1.98%"
"2019년 11월 13일","4.8493","4.9071","4.9193","4.8309","17.45M","-1.17%"
"2019년 11월 12일","4.9068","4.8919","4.9352","4.8193","19.88M","0.31%"
"2019년 11월 11일","4.8917","5.0538","5.0719","4.8801","18.75M","-3.21%"
"2019년 11월 10일","5.0538","4.9729","5.1664","4.9370","21.43M","1.63%"
