"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","7,542.44","7,587.05","7,587.41","7,532.38","212.14M","-0.59%"
"2019년 12월 30일","7,587.05","7,644.90","7,644.90","7,587.05","304.24M","-0.76%"
"2019년 12월 27일","7,644.90","7,632.24","7,665.40","7,622.46","311.11M","0.17%"
"2019년 12월 24일","7,632.24","7,623.59","7,636.16","7,608.22","185.67M","0.11%"
"2019년 12월 23일","7,623.59","7,582.48","7,628.20","7,559.63","539.14M","0.54%"
"2019년 12월 20일","7,582.48","7,573.82","7,599.52","7,564.59","1.16B","0.11%"
"2019년 12월 19일","7,573.82","7,540.75","7,575.90","7,526.10","661.08M","0.44%"
"2019년 12월 18일","7,540.75","7,525.28","7,557.05","7,515.17","679.28M","0.21%"
"2019년 12월 17일","7,525.28","7,519.05","7,537.66","7,497.15","1.10B","0.08%"
"2019년 12월 16일","7,519.05","7,353.44","7,552.65","7,353.18","1.05B","2.25%"
"2019년 12월 13일","7,353.44","7,273.47","7,429.04","7,223.42","1.91B","1.10%"
"2019년 12월 12일","7,273.47","7,216.25","7,307.36","7,216.08","727.08M","0.79%"
"2019년 12월 11일","7,216.25","7,213.76","7,250.67","7,195.49","820.83M","0.03%"
"2019년 12월 10일","7,213.76","7,233.90","7,234.40","7,137.84","703.52M","-0.28%"
"2019년 12월 09일","7,233.90","7,239.66","7,255.73","7,217.80","619.39M","-0.08%"
"2019년 12월 06일","7,239.66","7,137.85","7,241.50","7,137.85","516.37M","1.43%"
"2019년 12월 05일","7,137.85","7,188.50","7,194.78","7,131.16","650.61M","-0.70%"
"2019년 12월 04일","7,188.50","7,158.76","7,190.04","7,139.91","688.01M","0.42%"
"2019년 12월 03일","7,158.76","7,285.94","7,285.94","7,134.93","822.94M","-1.75%"
"2019년 12월 02일","7,285.94","7,346.53","7,400.27","7,277.02","924.43M","-0.82%"
"2019년 11월 29일","7,346.53","7,416.43","7,421.40","7,346.53","627.33M","-0.94%"
"2019년 11월 28일","7,416.43","7,429.78","7,429.78","7,385.32","605.36M","-0.18%"
"2019년 11월 27일","7,429.78","7,403.14","7,446.00","7,400.38","625.05M","0.36%"
"2019년 11월 26일","7,403.14","7,396.29","7,421.30","7,384.96","1.05B","0.09%"
"2019년 11월 25일","7,396.29","7,326.81","7,401.78","7,326.81","570.98M","0.95%"
"2019년 11월 22일","7,326.81","7,238.55","7,343.26","7,238.47","611.24M","1.22%"
"2019년 11월 21일","7,238.55","7,262.49","7,262.49","7,197.33","608.18M","-0.33%"
"2019년 11월 20일","7,262.49","7,323.80","7,323.80","7,219.11","814.23M","-0.84%"
"2019년 11월 19일","7,323.80","7,307.70","7,404.47","7,307.70","605.67M","0.22%"
"2019년 11월 18일","7,307.70","7,302.94","7,335.36","7,293.40","764.23M","0.07%"
"2019년 11월 15일","7,302.94","7,292.76","7,335.55","7,243.15","770.47M","0.14%"
"2019년 11월 14일","7,292.76","7,351.21","7,351.28","7,292.76","675.22M","-0.80%"
"2019년 11월 13일","7,351.21","7,365.44","7,365.44","7,301.71","694.52M","-0.19%"
"2019년 11월 12일","7,365.44","7,328.54","7,390.00","7,328.18","738.72M","0.50%"
"2019년 11월 11일","7,328.54","7,359.38","7,359.38","7,258.46","821.77M","-0.42%"
"2019년 11월 08일","7,359.38","7,406.41","7,406.83","7,349.12","535.07M","-0.63%"
"2019년 11월 07일","7,406.41","7,396.65","7,431.94","7,396.00","668.25M","0.13%"
"2019년 11월 06일","7,396.65","7,388.08","7,398.78","7,363.55","601.83M","0.12%"
"2019년 11월 05일","7,388.08","7,369.69","7,402.79","7,369.61","673.19M","0.25%"
"2019년 11월 04일","7,369.69","7,302.42","7,392.73","7,302.42","582.16M","0.92%"
"2019년 11월 01일","7,302.42","7,248.38","7,307.18","7,248.38","582.08M","0.75%"
"2019년 10월 31일","7,248.38","7,330.78","7,335.16","7,245.23","847.65M","-1.12%"
"2019년 10월 30일","7,330.78","7,306.26","7,334.04","7,278.18","672.19M","0.34%"
"2019년 10월 29일","7,306.26","7,331.28","7,335.73","7,264.74","710.02M","-0.34%"
"2019년 10월 28일","7,331.28","7,324.47","7,346.92","7,291.59","676.04M","0.09%"
"2019년 10월 25일","7,324.47","7,328.25","7,331.17","7,279.78","580.30M","-0.05%"
"2019년 10월 24일","7,328.25","7,260.74","7,338.87","7,255.46","733.23M","0.93%"
"2019년 10월 23일","7,260.74","7,212.49","7,265.86","7,194.13","764.42M","0.67%"
"2019년 10월 22일","7,212.49","7,163.64","7,230.17","7,146.69","800.69M","0.68%"
"2019년 10월 21일","7,163.64","7,150.57","7,197.53","7,139.38","853.63M","0.18%"
"2019년 10월 18일","7,150.57","7,182.32","7,197.14","7,146.11","869.34M","-0.44%"
"2019년 10월 17일","7,182.32","7,167.95","7,237.78","7,162.04","1.13B","0.20%"
"2019년 10월 16일","7,167.95","7,211.64","7,217.63","7,149.84","1.00B","-0.61%"
"2019년 10월 15일","7,211.64","7,213.45","7,242.37","7,176.67","1.12B","-0.03%"
"2019년 10월 14일","7,213.45","7,247.08","7,251.80","7,194.21","780.57M","-0.46%"
"2019년 10월 11일","7,247.08","7,186.36","7,250.09","7,144.66","1.51B","0.84%"
"2019년 10월 10일","7,186.36","7,166.50","7,212.90","7,130.52","700.02M","0.28%"
"2019년 10월 09일","7,166.50","7,143.15","7,196.41","7,139.90","582.02M","0.33%"
"2019년 10월 08일","7,143.15","7,197.88","7,223.86","7,143.15","691.68M","-0.76%"
"2019년 10월 07일","7,197.88","7,155.38","7,206.89","7,132.98","551.39M","0.59%"
"2019년 10월 04일","7,155.38","7,077.64","7,157.75","7,077.40","588.78M","1.10%"
"2019년 10월 03일","7,077.64","7,122.54","7,129.02","7,004.43","635.55M","-0.63%"
"2019년 10월 02일","7,122.54","7,360.32","7,360.32","7,119.72","747.80M","-3.23%"
"2019년 10월 01일","7,360.32","7,408.21","7,433.24","7,352.83","734.56M","-0.65%"
"2019년 09월 30일","7,408.21","7,426.21","7,439.62","7,402.20","655.55M","-0.24%"
"2019년 09월 27일","7,426.21","7,351.08","7,440.77","7,351.00","583.85M","1.02%"
"2019년 09월 26일","7,351.08","7,289.99","7,387.09","7,277.15","704.71M","0.84%"
"2019년 09월 25일","7,289.99","7,291.43","7,292.00","7,212.96","704.55M","-0.02%"
"2019년 09월 24일","7,291.43","7,326.08","7,348.97","7,281.91","588.77M","-0.47%"
"2019년 09월 23일","7,326.08","7,344.92","7,362.30","7,284.75","489.65M","-0.26%"
"2019년 09월 20일","7,344.92","7,356.42","7,376.31","7,322.01","1.66B","-0.16%"
"2019년 09월 19일","7,356.42","7,314.05","7,373.08","7,290.69","632.74M","0.58%"
"2019년 09월 18일","7,314.05","7,320.40","7,350.52","7,300.37","642.71M","-0.09%"
"2019년 09월 17일","7,320.40","7,321.41","7,350.24","7,292.23","698.42M","-0.01%"
"2019년 09월 16일","7,321.41","7,367.46","7,378.32","7,321.41","908.26M","-0.63%"
"2019년 09월 13일","7,367.46","7,344.67","7,380.29","7,318.23","1.00B","0.31%"
"2019년 09월 12일","7,344.67","7,338.03","7,369.34","7,303.17","725.26M","0.09%"
"2019년 09월 11일","7,338.03","7,267.95","7,346.71","7,267.95","829.12M","0.96%"
"2019년 09월 10일","7,267.95","7,235.81","7,270.50","7,199.40","1.03B","0.44%"
"2019년 09월 09일","7,235.81","7,282.34","7,325.21","7,205.98","794.83M","-0.64%"
"2019년 09월 06일","7,282.34","7,271.17","7,284.11","7,244.13","692.28M","0.15%"
"2019년 09월 05일","7,271.17","7,311.26","7,330.71","7,250.63","711.30M","-0.55%"
"2019년 09월 04일","7,311.26","7,268.19","7,334.55","7,268.19","677.43M","0.59%"
"2019년 09월 03일","7,268.19","7,281.94","7,301.47","7,239.10","626.09M","-0.19%"
"2019년 09월 02일","7,281.94","7,207.18","7,315.26","7,206.90","497.75M","1.04%"
"2019년 08월 30일","7,207.18","7,184.32","7,240.37","7,179.70","727.84M","0.32%"
"2019년 08월 29일","7,184.32","7,114.71","7,199.20","7,103.12","635.67M","0.98%"
"2019년 08월 28일","7,114.71","7,089.58","7,131.21","7,050.00","675.63M","0.35%"
"2019년 08월 27일","7,089.58","7,094.98","7,110.76","7,044.73","851.39M","-0.08%"
"2019년 08월 23일","7,094.98","7,128.18","7,188.59","7,094.98","643.00M","-0.47%"
"2019년 08월 22일","7,128.18","7,203.97","7,203.97","7,103.67","653.34M","-1.05%"
"2019년 08월 21일","7,203.97","7,125.00","7,215.53","7,122.12","604.70M","1.11%"
"2019년 08월 20일","7,125.00","7,189.65","7,231.65","7,121.24","766.07M","-0.90%"
"2019년 08월 19일","7,189.65","7,117.15","7,214.23","7,117.15","612.86M","1.02%"
