"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","142.90","143.31","143.60","142.80","5.31M","0.19%"
"2019년 12월 30일","142.63","142.56","142.80","142.46","4.81M","0.21%"
"2019년 12월 27일","142.33","142.26","142.73","142.17","5.12M","-0.04%"
"2019년 12월 26일","142.38","142.06","142.47","141.91","8.34M","0.79%"
"2019년 12월 24일","141.27","140.44","141.33","140.43","5.30M","0.94%"
"2019년 12월 23일","139.95","139.53","139.96","139.53","5.18M","0.31%"
"2019년 12월 20일","139.52","139.37","139.52","138.98","4.48M","0.10%"
"2019년 12월 19일","139.38","139.04","139.55","138.87","4.98M","0.26%"
"2019년 12월 18일","139.02","138.86","139.25","138.81","3.61M","0.01%"
"2019년 12월 17일","139.01","139.02","139.30","138.85","4.29M","-0.02%"
"2019년 12월 16일","139.04","139.20","139.39","138.80","4.65M","-0.01%"
"2019년 12월 13일","139.05","138.52","139.21","137.98","6.98M","0.45%"
"2019년 12월 12일","138.43","139.78","139.85","137.88","8.82M","-0.35%"
"2019년 12월 11일","138.92","138.20","139.30","138.12","6.12M","0.69%"
"2019년 12월 10일","137.97","138.25","138.33","137.74","3.24M","0.28%"
"2019년 12월 09일","137.58","137.80","137.81","137.45","2.81M","-0.03%"
"2019년 12월 06일","137.62","137.76","137.83","137.40","8.75M","-0.99%"
"2019년 12월 05일","139.00","138.80","139.45","138.79","5.67M","0.06%"
"2019년 12월 04일","138.92","139.16","139.16","138.59","6.33M","-0.14%"
"2019년 12월 03일","139.11","139.04","139.57","138.97","8.50M","0.96%"
"2019년 12월 02일","137.79","137.32","138.09","137.30","8.28M","-0.05%"
"2019년 11월 29일","137.86","137.10","138.13","137.08","4.52M","0.62%"
"2019년 11월 27일","137.01","137.03","137.21","136.83","4.11M","-0.53%"
"2019년 11월 26일","137.74","136.98","137.80","136.58","4.73M","0.48%"
"2019년 11월 25일","137.08","137.32","137.62","136.99","6.42M","-0.48%"
"2019년 11월 22일","137.74","138.37","138.46","137.66","3.62M","-0.19%"
"2019년 11월 21일","138.00","138.39","138.56","137.77","4.20M","-0.55%"
"2019년 11월 20일","138.76","138.53","139.00","138.10","6.89M","0.05%"
"2019년 11월 19일","138.69","138.13","138.97","138.13","4.83M","0.05%"
"2019년 11월 18일","138.62","138.44","138.85","138.30","5.72M","0.30%"
"2019년 11월 15일","138.21","138.03","138.42","137.97","10.11M","-0.25%"
"2019년 11월 14일","138.56","138.39","138.94","137.87","5.22M","0.42%"
"2019년 11월 13일","137.98","137.80","138.22","137.64","8.81M","0.40%"
