"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","28,189.75","28,241.43","28,298.46","28,123.86","-","-0.46%"
"2019년 12월 30일","28,319.39","28,250.48","28,418.65","28,165.13","-","0.33%"
"2019년 12월 27일","28,225.42","28,033.66","28,226.11","28,000.62","-","1.30%"
"2019년 12월 24일","27,864.21","27,901.51","27,921.29","27,792.66","-","-0.15%"
"2019년 12월 23일","27,906.41","28,024.62","28,024.62","27,830.08","-","0.13%"
"2019년 12월 20일","27,871.35","27,834.55","27,959.52","27,740.66","-","0.25%"
"2019년 12월 19일","27,800.49","27,908.78","27,908.78","27,675.24","-","-0.30%"
"2019년 12월 18일","27,884.21","27,946.74","27,970.76","27,775.98","-","0.15%"
"2019년 12월 17일","27,843.71","27,630.69","27,894.72","27,563.44","-","1.22%"
"2019년 12월 16일","27,508.09","27,530.50","27,715.93","27,473.32","-","-0.65%"
"2019년 12월 13일","27,687.76","27,494.51","27,687.76","27,405.26","2.21B","2.57%"
"2019년 12월 12일","26,994.14","26,837.94","27,048.98","26,837.94","1.45B","1.31%"
"2019년 12월 11일","26,645.43","26,410.09","26,659.98","26,364.43","1.41B","0.79%"
"2019년 12월 10일","26,436.62","26,378.99","26,527.09","26,355.53","956.29M","-0.22%"
"2019년 12월 09일","26,494.73","26,513.97","26,618.25","26,432.27","1.30B","-0.01%"
"2019년 12월 06일","26,498.37","26,345.20","26,520.08","26,309.34","1.64B","1.07%"
"2019년 12월 05일","26,217.04","26,300.51","26,300.51","26,134.06","1.23B","0.59%"
"2019년 12월 04일","26,062.56","26,071.39","26,191.79","25,995.15","1.50B","-1.25%"
"2019년 12월 03일","26,391.30","26,315.97","26,424.12","26,063.02","1.80B","-0.20%"
"2019년 12월 02일","26,444.72","26,475.34","26,511.55","26,393.09","1.35B","0.37%"
"2019년 11월 29일","26,346.49","26,705.38","26,705.38","26,308.10","2.00B","-2.03%"
"2019년 11월 28일","26,893.73","26,763.63","26,991.80","26,763.63","998.84M","-0.22%"
"2019년 11월 27일","26,954.00","26,943.52","26,974.28","26,866.80","1.13B","0.15%"
"2019년 11월 26일","26,913.92","27,183.90","27,227.87","26,913.92","2.42B","-0.29%"
"2019년 11월 25일","26,993.04","26,873.35","27,114.22","26,852.89","1.50B","1.50%"
