"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","120,000","120,500","121,500","120,000","327.33K","-0.41%"
"2019년 12월 29일","120,500","120,500","120,500","120,500","-","0.00%"
"2019년 12월 27일","120,500","121,000","121,000","120,000","421.54K","-1.23%"
"2019년 12월 26일","122,000","122,500","123,000","121,500","504.09K","0.00%"
"2019년 12월 24일","122,000","123,000","123,000","121,500","439.65K","-0.41%"
"2019년 12월 23일","122,500","124,000","125,000","122,500","938.05K","-1.21%"
"2019년 12월 22일","124,000","124,000","124,000","124,000","-","0.00%"
"2019년 12월 20일","124,000","123,500","124,000","122,500","1.00M","0.40%"
"2019년 12월 19일","123,500","122,500","123,500","122,000","0.12K","0.41%"
"2019년 12월 18일","123,000","122,000","123,500","120,500","0.00K","0.82%"
"2019년 12월 17일","122,000","120,000","123,000","119,000","1.43M","2.52%"
"2019년 12월 16일","119,000","120,500","121,000","119,000","978.55K","-1.65%"
"2019년 12월 15일","121,000","121,000","121,000","121,000","-","0.00%"
"2019년 12월 13일","121,000","121,500","122,500","119,500","982.52K","0.83%"
"2019년 12월 12일","120,000","119,500","120,500","119,000","1.53M","0.84%"
"2019년 12월 11일","119,000","120,500","120,500","119,000","1.01M","-0.83%"
"2019년 12월 10일","120,000","119,500","120,500","119,000","783.91K","0.42%"
"2019년 12월 09일","119,500","119,500","120,500","119,000","841.78K","0.84%"
"2019년 12월 06일","118,500","118,500","119,500","118,000","982.48K","0.42%"
"2019년 12월 05일","118,000","121,500","122,500","117,500","1.56M","-3.28%"
"2019년 12월 04일","122,000","120,000","124,000","120,000","1.50M","0.41%"
"2019년 12월 03일","121,500","120,000","121,500","119,000","849.38K","0.00%"
"2019년 12월 02일","121,500","121,000","121,500","118,500","861.53K","0.41%"
"2019년 11월 29일","121,000","123,500","124,500","120,000","1.02M","-2.42%"
"2019년 11월 28일","124,000","123,500","125,000","123,000","742.17K","0.40%"
"2019년 11월 27일","123,500","123,000","124,000","123,000","696.08K","0.82%"
"2019년 11월 26일","122,500","124,500","125,500","122,500","1.65M","-2.00%"
"2019년 11월 25일","125,000","124,000","125,500","123,500","640.60K","1.21%"
"2019년 11월 22일","123,500","124,000","125,500","123,500","702.33K","-0.80%"
"2019년 11월 21일","124,500","124,000","124,500","123,000","724.11K","0.00%"
"2019년 11월 20일","124,500","124,500","124,500","123,500","567.81K","-0.40%"
"2019년 11월 19일","125,000","125,000","126,000","124,500","537.69K","-0.79%"
"2019년 11월 18일","126,000","125,000","126,000","124,500","596.16K","0.40%"
"2019년 11월 17일","125,500","125,500","125,500","125,500","-","0.00%"
"2019년 11월 15일","125,500","124,500","125,500","124,000","469.03K","0.80%"
"2019년 11월 14일","124,500","125,000","125,000","124,000","539.29K","0.00%"
"2019년 11월 13일","124,500","125,000","126,000","124,500","524.67K","-0.80%"
