"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","44.42","44.14","44.55","44.03","1.31M","0.23%"
"2019년 12월 30일","44.32","44.26","44.43","43.98","1.71M","-0.29%"
"2019년 12월 27일","44.45","44.69","44.69","44.38","404.21K","-0.13%"
"2019년 12월 26일","44.51","44.66","44.74","44.26","786.62K","-0.36%"
"2019년 12월 24일","44.67","44.22","44.67","44.22","1.06M","0.90%"
"2019년 12월 23일","44.27","44.87","44.92","44.25","2.41M","-1.12%"
"2019년 12월 20일","44.77","44.06","44.80","44.06","2.18M","1.77%"
"2019년 12월 19일","43.99","44.41","44.41","43.77","3.78M","-0.86%"
"2019년 12월 18일","44.37","44.94","45.02","44.16","3.76M","-0.98%"
"2019년 12월 17일","44.81","45.06","45.39","44.72","4.02M","-0.78%"
"2019년 12월 16일","45.16","45.37","45.51","44.96","1.24M","-0.13%"
"2019년 12월 13일","45.22","45.10","45.32","44.95","1.57M","0.33%"
"2019년 12월 12일","45.07","45.82","45.94","45.04","2.37M","-1.53%"
"2019년 12월 11일","45.77","45.23","45.77","45.14","1.54M","1.02%"
"2019년 12월 10일","45.31","45.60","45.60","45.11","1.61M","-0.55%"
"2019년 12월 09일","45.56","45.40","45.67","45.23","1.31M","0.55%"
"2019년 12월 06일","45.31","45.66","45.99","45.23","1.95M","-0.79%"
"2019년 12월 05일","45.67","45.19","45.71","45.16","1.46M","1.24%"
"2019년 12월 04일","45.11","45.00","45.32","44.78","1.12M","0.65%"
"2019년 12월 03일","44.82","44.56","44.85","44.45","1.18M","-0.04%"
"2019년 12월 02일","44.84","45.40","45.54","44.73","2.28M","-1.52%"
"2019년 11월 29일","45.53","45.68","45.85","45.48","452.97K","-0.57%"
"2019년 11월 27일","45.79","45.84","46.20","45.61","1.08M","-0.22%"
"2019년 11월 26일","45.89","45.28","45.91","45.28","2.58M","1.35%"
"2019년 11월 25일","45.28","44.83","45.35","44.83","924.93K","1.21%"
"2019년 11월 22일","44.74","44.83","45.01","44.64","1.67M","0.07%"
"2019년 11월 21일","44.71","45.13","45.31","44.66","1.43M","-0.93%"
"2019년 11월 20일","45.13","45.10","45.60","44.88","1.23M","0.18%"
"2019년 11월 19일","45.05","45.27","45.51","44.98","1.33M","-0.71%"
"2019년 11월 18일","45.37","45.01","45.60","44.99","2.28M","1.02%"
"2019년 11월 15일","44.91","45.54","45.60","44.84","2.18M","-0.90%"
"2019년 11월 14일","45.32","45.07","45.44","44.97","1.72M","0.55%"
"2019년 11월 13일","45.07","44.80","45.23","44.70","2.30M","0.49%"
"2019년 11월 12일","44.85","44.86","45.27","44.12","7.32M","0.61%"
"2019년 11월 11일","44.58","43.74","44.58","43.69","1.70M","1.53%"
"2019년 11월 08일","43.91","43.66","43.99","43.62","1.75M","0.50%"
