"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","669.83","662.06","669.83","661.62","789.33M","1.30%"
"2019년 12월 27일","661.24","652.60","661.59","652.17","807.71M","1.41%"
"2019년 12월 26일","652.07","640.77","652.09","640.20","921.88M","2.06%"
"2019년 12월 24일","638.91","648.71","648.71","638.74","763.09M","-1.34%"
"2019년 12월 23일","647.62","651.77","652.81","646.68","725.86M","-0.32%"
"2019년 12월 20일","649.73","650.19","651.20","647.90","944.57M","0.29%"
"2019년 12월 19일","647.85","650.30","653.65","645.11","808.15M","-0.17%"
"2019년 12월 18일","648.95","650.87","651.71","647.73","882.12M","-0.25%"
"2019년 12월 17일","650.58","646.80","650.58","646.04","851.06M","0.95%"
"2019년 12월 16일","644.44","644.91","646.56","643.24","794.17M","0.15%"
"2019년 12월 13일","643.45","643.34","645.73","641.87","913.75M","1.02%"
"2019년 12월 12일","636.94","632.29","638.92","631.25","941.20M","1.24%"
"2019년 12월 11일","629.13","627.26","630.60","626.57","817.89M","0.32%"
"2019년 12월 10일","627.11","627.62","627.76","623.54","763.03M","-0.12%"
"2019년 12월 09일","627.86","630.60","630.63","625.59","778.73M","-0.04%"
"2019년 12월 06일","628.10","619.48","628.11","619.48","726.66M","1.70%"
"2019년 12월 05일","617.60","629.49","629.60","613.77","901.71M","-1.23%"
"2019년 12월 04일","625.27","626.06","630.45","622.67","928.17M","-0.68%"
"2019년 12월 03일","629.58","630.07","632.01","627.00","868.95M","-0.78%"
"2019년 12월 02일","634.50","635.58","638.35","632.22","845.65M","0.24%"
"2019년 11월 29일","632.99","641.72","643.27","631.40","940.62M","-1.12%"
"2019년 11월 28일","640.18","646.27","649.37","640.18","882.47M","-1.11%"
"2019년 11월 27일","647.39","653.74","653.87","646.89","859.36M","-0.64%"
"2019년 11월 26일","651.59","650.79","653.54","649.78","868.85M","0.65%"
"2019년 11월 25일","647.40","639.50","647.41","639.50","826.79M","2.13%"
"2019년 11월 22일","633.92","637.99","640.77","629.74","1.05B","-0.33%"
"2019년 11월 21일","635.99","650.56","651.23","634.29","1.05B","-2.14%"
"2019년 11월 20일","649.87","661.45","663.76","648.82","1.29B","-1.91%"
"2019년 11월 19일","662.53","669.11","669.24","662.24","1.16B","-1.02%"
"2019년 11월 18일","669.34","670.07","671.09","666.82","1.09B","0.12%"
"2019년 11월 15일","668.51","662.87","668.54","660.64","1.11B","0.78%"
"2019년 11월 14일","663.31","663.25","666.05","659.21","1.36B","0.22%"
"2019년 11월 13일","661.85","665.37","665.48","659.95","1.36B","-0.49%"
"2019년 11월 12일","665.14","662.11","665.86","661.42","1.08B","0.57%"
"2019년 11월 11일","661.37","666.13","666.13","658.70","922.61M","-0.49%"
"2019년 11월 08일","664.60","669.34","670.59","662.46","952.99M","-0.23%"
"2019년 11월 07일","666.15","668.73","669.57","663.70","1.03B","-0.53%"
"2019년 11월 06일","669.68","672.12","673.86","669.25","1.09B","-0.37%"
"2019년 11월 05일","672.18","669.47","672.18","666.00","987.48M","0.56%"
"2019년 11월 04일","668.45","667.20","669.66","665.63","921.19M","0.92%"
"2019년 11월 01일","662.34","658.16","662.34","656.13","820.17M","0.58%"
"2019년 10월 31일","658.52","658.45","661.65","656.96","892.49M","0.53%"
"2019년 10월 30일","655.04","660.60","660.60","654.15","892.70M","-0.50%"
"2019년 10월 29일","658.30","656.85","658.76","653.83","954.72M","0.90%"
"2019년 10월 28일","652.42","655.05","657.29","651.95","933.70M","0.01%"
"2019년 10월 25일","652.37","657.60","658.77","651.29","1.01B","-0.97%"
"2019년 10월 24일","658.75","658.53","662.27","647.53","1.07B","-0.03%"
"2019년 10월 23일","658.98","656.88","660.38","654.78","1.03B","0.47%"
"2019년 10월 22일","655.91","653.17","660.35","651.10","883.77M","1.04%"
"2019년 10월 21일","649.18","646.79","649.18","645.35","767.92M","0.39%"
"2019년 10월 18일","646.69","651.55","651.97","645.59","866.09M","-0.40%"
"2019년 10월 17일","649.29","653.08","654.67","646.61","1.04B","-0.41%"
"2019년 10월 16일","651.96","650.61","652.73","649.88","860.25M","0.80%"
"2019년 10월 15일","646.80","641.51","647.40","641.49","737.77M","0.83%"
"2019년 10월 14일","641.46","638.65","643.41","637.69","681.42M","1.34%"
"2019년 10월 11일","632.95","638.22","638.49","632.92","767.47M","-0.28%"
"2019년 10월 10일","634.73","633.96","635.85","630.59","715.23M","-0.11%"
"2019년 10월 08일","635.41","628.03","635.94","624.92","864.37M","1.31%"
"2019년 10월 07일","627.21","625.25","627.82","622.45","753.05M","0.86%"
"2019년 10월 04일","621.84","623.08","627.15","619.53","792.98M","-0.43%"
"2019년 10월 02일","624.51","627.75","630.62","624.47","1.25B","-1.20%"
"2019년 10월 01일","632.10","623.70","632.12","621.76","875.34M","1.66%"
"2019년 09월 30일","621.76","625.69","627.30","615.64","745.97M","-0.82%"
"2019년 09월 27일","626.93","628.41","628.41","623.32","724.11M","-0.24%"
"2019년 09월 26일","628.42","632.31","635.64","622.55","838.49M","0.26%"
"2019년 09월 25일","626.76","641.08","641.23","626.02","987.73M","-2.35%"
"2019년 09월 24일","641.85","643.45","646.60","641.17","778.01M","-0.49%"
"2019년 09월 23일","645.01","648.81","649.22","644.39","747.64M","-0.63%"
"2019년 09월 20일","649.07","647.50","650.03","645.91","844.70M","0.52%"
"2019년 09월 19일","645.71","646.83","651.45","643.00","867.28M","0.09%"
"2019년 09월 18일","645.12","646.25","648.95","644.32","909.11M","0.13%"
"2019년 09월 17일","644.28","637.10","646.05","636.00","823.51M","0.89%"
"2019년 09월 16일","638.59","634.67","638.59","630.16","622.05M","1.30%"
"2019년 09월 11일","630.37","625.81","632.42","624.78","718.20M","1.14%"
"2019년 09월 10일","623.25","627.77","628.81","621.95","830.37M","-0.40%"
"2019년 09월 09일","625.77","633.61","634.30","625.28","709.70M","-0.85%"
"2019년 09월 06일","631.15","637.33","637.33","630.60","882.31M","-0.29%"
"2019년 09월 05일","632.99","633.19","634.96","631.38","948.70M","0.58%"
"2019년 09월 04일","629.31","619.61","629.31","619.46","792.57M","1.50%"
"2019년 09월 03일","620.02","619.86","623.34","619.28","777.38M","0.03%"
"2019년 09월 02일","619.81","609.46","619.90","608.97","683.77M","1.52%"
"2019년 08월 30일","610.55","607.14","611.11","606.65","787.58M","1.83%"
"2019년 08월 29일","599.57","604.19","605.39","595.26","681.49M","-0.55%"
"2019년 08월 28일","602.90","590.67","602.90","590.36","698.49M","2.48%"
"2019년 08월 27일","588.32","592.38","596.43","587.42","651.15M","0.93%"
"2019년 08월 26일","582.91","594.25","598.08","582.77","711.38M","-4.28%"
"2019년 08월 23일","608.98","606.28","612.63","605.93","706.44M","-0.53%"
"2019년 08월 22일","612.25","618.34","618.73","611.67","850.92M","-0.60%"
"2019년 08월 21일","615.96","605.83","615.96","604.83","821.04M","1.47%"
"2019년 08월 20일","607.01","597.15","607.87","595.62","914.62M","2.08%"
"2019년 08월 19일","594.65","596.42","597.59","591.21","706.96M","0.52%"
"2019년 08월 16일","591.57","590.04","592.82","587.49","684.05M","-0.93%"
"2019년 08월 14일","597.15","600.35","601.46","596.23","793.56M","1.08%"
"2019년 08월 13일","590.75","589.71","593.98","588.47","755.90M","-0.58%"
"2019년 08월 12일","594.17","590.43","594.70","585.07","707.42M","0.70%"
"2019년 08월 09일","590.04","590.51","593.28","585.94","690.85M","0.79%"
"2019년 08월 08일","585.44","571.59","585.44","571.00","929.19M","3.68%"
"2019년 08월 07일","564.64","562.47","567.52","554.18","835.98M","2.38%"
"2019년 08월 06일","551.50","555.07","577.51","540.83","973.68M","-3.21%"
"2019년 08월 05일","569.79","614.69","615.23","569.78","821.18M","-7.46%"
"2019년 08월 02일","615.70","612.01","622.36","607.01","601.25M","-1.05%"
"2019년 08월 01일","622.26","627.94","634.44","622.25","694.24M","-1.26%"
"2019년 07월 31일","630.18","625.05","631.43","610.70","770.56M","0.73%"
"2019년 07월 30일","625.64","620.33","630.61","620.33","716.18M","1.11%"
"2019년 07월 29일","618.78","643.34","643.34","618.78","795.26M","-4.00%"
"2019년 07월 26일","644.59","650.30","652.38","640.43","886.28M","-1.20%"
"2019년 07월 25일","652.40","660.30","661.62","647.38","871.06M","-1.13%"
"2019년 07월 24일","659.83","670.31","672.36","659.26","971.45M","-1.32%"
"2019년 07월 23일","668.65","675.84","678.27","666.79","894.11M","-0.91%"
"2019년 07월 22일","674.78","674.00","675.48","671.44","644.96M","0.11%"
"2019년 07월 19일","674.06","668.20","674.06","668.20","756.21M","1.34%"
"2019년 07월 18일","665.15","665.09","669.47","661.82","837.12M","-0.17%"
"2019년 07월 17일","666.28","673.08","673.34","661.93","901.09M","-1.21%"
"2019년 07월 16일","674.42","675.67","679.69","672.77","824.28M","-0.05%"
"2019년 07월 15일","674.79","682.36","682.36","671.71","715.66M","-0.94%"
"2019년 07월 12일","681.17","677.87","682.65","673.76","735.65M","0.60%"
"2019년 07월 11일","677.09","669.98","677.11","668.42","791.15M","1.53%"
"2019년 07월 10일","666.90","662.30","670.68","660.62","774.83M","1.38%"
"2019년 07월 09일","657.80","670.76","675.09","657.77","879.15M","-1.63%"
"2019년 07월 08일","668.72","691.97","691.97","668.72","766.60M","-3.67%"
"2019년 07월 05일","694.17","692.86","694.39","686.93","729.81M","0.42%"
"2019년 07월 04일","691.27","693.96","694.63","682.73","763.52M","-0.26%"
"2019년 07월 03일","693.04","697.68","698.89","689.86","676.30M","-0.46%"
"2019년 07월 02일","696.25","695.80","699.44","693.19","696.44M","0.04%"
"2019년 07월 01일","696.00","696.38","697.97","692.76","734.43M","0.79%"
"2019년 06월 28일","690.53","698.63","700.42","687.29","784.77M","-1.10%"
"2019년 06월 27일","698.21","711.18","713.14","694.53","909.98M","-1.57%"
"2019년 06월 26일","709.37","710.15","713.57","706.44","981.44M","-0.09%"
"2019년 06월 25일","710.02","719.03","720.06","707.64","1.06B","-1.07%"
"2019년 06월 24일","717.69","725.04","725.05","717.22","923.99M","-0.68%"
"2019년 06월 21일","722.64","729.20","729.20","721.96","1.10B","-0.64%"
"2019년 06월 20일","727.32","719.54","727.34","719.31","1.00B","1.34%"
"2019년 06월 19일","717.71","721.66","722.66","714.98","979.44M","0.40%"
"2019년 06월 18일","714.86","721.25","723.79","713.17","1.05B","-0.59%"
"2019년 06월 17일","719.13","723.52","723.90","718.62","757.97M","-0.43%"
"2019년 06월 14일","722.25","729.39","729.39","721.44","843.44M","-0.61%"
"2019년 06월 13일","726.68","724.57","730.86","721.87","839.46M","0.33%"
"2019년 06월 12일","724.32","729.06","729.06","721.91","724.08M","-0.61%"
"2019년 06월 11일","728.79","723.61","728.79","722.51","897.03M","1.06%"
"2019년 06월 10일","721.14","721.12","721.50","717.08","763.02M","0.64%"
"2019년 06월 07일","716.53","711.77","716.56","708.73","723.22M","1.24%"
"2019년 06월 05일","707.75","709.07","710.11","706.76","616.92M","0.74%"
"2019년 06월 04일","702.53","699.12","702.53","697.20","657.09M","0.72%"
"2019년 06월 03일","697.50","693.26","698.35","691.80","643.04M","0.15%"
