"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","157.70","156.77","157.77","156.45","18.39M","0.07%"
"2019년 12월 30일","157.59","158.99","159.02","156.73","16.36M","-0.86%"
"2019년 12월 27일","158.96","159.45","159.55","158.22","18.41M","0.18%"
"2019년 12월 26일","158.67","157.56","158.73","157.40","14.53M","0.82%"
"2019년 12월 24일","157.38","157.48","157.71","157.12","8.99M","-0.02%"
"2019년 12월 23일","157.41","158.12","158.12","157.27","17.73M","0.00%"
"2019년 12월 20일","157.41","157.35","158.49","156.29","53.60M","1.09%"
"2019년 12월 19일","155.71","154.00","155.77","153.75","25.81M","0.87%"
"2019년 12월 18일","154.37","154.30","155.48","154.18","24.13M","-0.21%"
"2019년 12월 17일","154.69","155.45","155.71","154.45","25.44M","-0.54%"
"2019년 12월 16일","155.53","155.11","155.90","154.82","24.15M","0.65%"
"2019년 12월 13일","154.53","153.00","154.89","152.83","23.85M","0.84%"
"2019년 12월 12일","153.24","151.65","153.44","151.02","24.65M","1.02%"
"2019년 12월 11일","151.70","151.54","151.87","150.33","18.86M","0.38%"
"2019년 12월 10일","151.13","151.29","151.89","150.76","16.48M","-0.15%"
"2019년 12월 09일","151.36","151.07","152.21","150.91","16.74M","-0.26%"
"2019년 12월 06일","151.75","150.99","151.87","150.27","16.41M","1.21%"
"2019년 12월 05일","149.93","150.05","150.32","149.48","17.88M","0.05%"
"2019년 12월 04일","149.85","150.14","150.18","149.20","17.58M","0.36%"
"2019년 12월 03일","149.31","147.49","149.43","146.65","25.19M","-0.16%"
"2019년 12월 02일","149.55","151.81","151.83","148.32","27.47M","-1.21%"
"2019년 11월 29일","151.38","152.10","152.30","151.28","11.98M","-0.62%"
"2019년 11월 27일","152.32","152.33","152.50","151.52","15.20M","0.19%"
"2019년 11월 26일","152.03","151.36","152.42","151.32","24.64M","0.53%"
"2019년 11월 25일","151.23","150.00","151.35","149.92","22.43M","1.10%"
"2019년 11월 22일","149.59","150.07","150.30","148.82","15.84M","0.07%"
"2019년 11월 21일","149.48","149.40","149.80","148.50","18.58M","-0.09%"
"2019년 11월 20일","149.62","150.31","150.84","148.46","25.72M","-0.51%"
"2019년 11월 19일","150.39","150.88","151.33","150.19","23.96M","0.03%"
"2019년 11월 18일","150.34","150.07","150.55","148.98","21.55M","0.25%"
"2019년 11월 15일","149.97","148.93","149.99","148.27","23.51M","1.29%"
"2019년 11월 14일","148.06","147.02","148.41","147.00","19.76M","0.51%"
"2019년 11월 13일","147.31","146.74","147.46","146.28","17.44M","0.16%"
"2019년 11월 12일","147.07","146.28","147.57","146.06","18.65M","0.66%"
"2019년 11월 11일","146.11","145.34","146.42","144.73","14.37M","0.10%"
"2019년 11월 08일","145.96","143.98","145.99","143.76","16.75M","1.18%"
"2019년 11월 07일","144.26","143.84","144.88","143.77","17.79M","0.14%"
"2019년 11월 06일","144.06","144.37","144.52","143.20","16.58M","-0.28%"
"2019년 11월 05일","144.46","144.97","145.02","143.91","18.25M","-0.06%"
"2019년 11월 04일","144.55","144.83","145.00","144.16","16.91M","0.58%"
"2019년 11월 01일","143.72","144.26","144.42","142.97","33.13M","0.24%"
"2019년 10월 31일","143.37","144.90","144.93","142.99","24.61M","-0.86%"
"2019년 10월 30일","144.61","143.52","145.00","142.79","18.50M","1.25%"
"2019년 10월 29일","142.83","144.08","144.50","142.65","20.59M","-0.94%"
"2019년 10월 28일","144.19","144.40","145.67","143.51","35.28M","2.46%"
"2019년 10월 25일","140.73","139.34","141.14","139.20","25.96M","0.56%"
"2019년 10월 24일","139.94","139.39","140.42","138.67","37.28M","1.97%"
"2019년 10월 23일","137.24","136.88","137.45","135.61","31.38M","0.64%"
"2019년 10월 22일","136.37","138.97","140.01","136.26","27.94M","-1.49%"
"2019년 10월 21일","138.43","138.45","138.50","137.01","20.72M","0.74%"
"2019년 10월 18일","137.41","139.76","140.00","136.56","32.28M","-1.63%"
"2019년 10월 17일","139.69","140.95","141.42","139.02","22.10M","-0.51%"
"2019년 10월 16일","140.41","140.79","140.99","139.53","20.84M","-0.82%"
"2019년 10월 15일","141.57","140.06","141.79","139.81","19.92M","1.45%"
"2019년 10월 14일","139.55","139.69","140.29","139.52","13.59M","-0.09%"
"2019년 10월 11일","139.68","140.12","141.03","139.50","25.55M","0.42%"
"2019년 10월 10일","139.10","138.49","139.67","138.25","18.40M","0.62%"
"2019년 10월 09일","138.24","137.46","138.70","136.97","20.18M","1.89%"
"2019년 10월 08일","135.67","137.08","137.76","135.62","26.78M","-1.06%"
"2019년 10월 07일","137.12","137.14","138.18","137.02","16.60M","-0.72%"
"2019년 10월 04일","138.12","136.75","138.25","136.42","23.84M","1.35%"
"2019년 10월 03일","136.28","134.95","136.75","133.22","26.38M","1.21%"
"2019년 10월 02일","134.65","136.25","136.37","133.58","32.00M","-1.77%"
"2019년 10월 01일","137.07","139.66","140.25","137.00","22.58M","-1.41%"
"2019년 09월 30일","139.03","138.05","139.22","137.78","18.43M","0.94%"
"2019년 09월 27일","137.73","140.15","140.36","136.65","22.50M","-1.30%"
"2019년 09월 26일","139.54","139.44","140.18","138.44","17.81M","0.13%"
"2019년 09월 25일","139.36","137.50","139.96","136.03","22.54M","1.44%"
"2019년 09월 24일","137.38","140.36","140.69","136.88","30.02M","-1.26%"
"2019년 09월 23일","139.14","139.23","139.63","138.44","17.41M","-0.22%"
"2019년 09월 20일","139.44","141.01","141.65","138.25","40.04M","-1.16%"
"2019년 09월 19일","141.07","140.30","142.37","140.07","36.10M","1.84%"
"2019년 09월 18일","138.52","137.36","138.67","136.53","24.47M","0.82%"
"2019년 09월 17일","137.39","136.96","137.52","136.43","17.98M","0.78%"
"2019년 09월 16일","136.33","135.83","136.70","135.66","16.73M","-0.72%"
"2019년 09월 13일","137.32","137.78","138.06","136.57","23.36M","-0.15%"
"2019년 09월 12일","137.52","137.85","138.42","136.87","27.01M","1.03%"
"2019년 09월 11일","136.12","135.91","136.27","135.09","24.73M","0.03%"
"2019년 09월 10일","136.08","136.80","136.89","134.51","28.90M","-1.05%"
"2019년 09월 09일","137.52","139.59","139.75","136.46","25.77M","-1.14%"
"2019년 09월 06일","139.10","140.03","140.18","138.20","20.82M","-0.68%"
"2019년 09월 05일","140.05","139.11","140.38","138.76","26.12M","1.76%"
"2019년 09월 04일","137.63","137.30","137.69","136.48","18.02M","1.17%"
"2019년 09월 03일","136.04","136.61","137.20","135.70","18.88M","-1.32%"
"2019년 08월 30일","137.86","139.15","139.18","136.27","23.95M","-0.19%"
"2019년 08월 29일","138.12","137.25","138.44","136.91","20.18M","1.89%"
"2019년 08월 28일","135.56","134.88","135.76","133.55","17.41M","-0.13%"
"2019년 08월 27일","135.74","136.39","136.72","134.66","23.12M","0.21%"
"2019년 08월 26일","135.45","134.99","135.56","133.90","20.33M","1.54%"
"2019년 08월 23일","133.39","137.19","138.35","132.80","38.52M","-3.19%"
"2019년 08월 22일","137.78","138.66","139.20","136.29","18.71M","-0.73%"
"2019년 08월 21일","138.79","138.55","139.49","138.00","14.98M","1.11%"
"2019년 08월 20일","137.26","138.21","138.71","137.24","21.19M","-0.83%"
"2019년 08월 19일","138.41","137.85","138.55","136.88","24.37M","1.67%"
"2019년 08월 16일","136.13","134.88","136.46","134.72","25.03M","1.83%"
"2019년 08월 15일","133.68","134.39","134.58","132.25","28.13M","-0.22%"
"2019년 08월 14일","133.98","136.36","136.92","133.67","32.53M","-3.33%"
