"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","186,500","183,500","190,000","183,500","376.46K","1.63%"
"2019년 12월 29일","183,500","183,500","183,500","183,500","-","0.00%"
"2019년 12월 27일","183,500","182,000","184,500","179,000","323.30K","1.38%"
"2019년 12월 26일","181,000","180,500","183,000","179,000","143.42K","-0.55%"
"2019년 12월 24일","182,000","184,000","184,000","179,000","193.24K","-1.09%"
"2019년 12월 23일","184,000","185,500","185,500","182,000","0.02K","0.27%"
"2019년 12월 22일","183,500","183,500","183,500","183,500","-","0.00%"
"2019년 12월 20일","183,500","180,000","187,000","179,500","559.27K","2.51%"
"2019년 12월 19일","179,000","176,000","179,500","175,500","296.21K","0.28%"
"2019년 12월 18일","178,500","179,500","180,000","175,500","0.00K","-1.11%"
"2019년 12월 17일","180,500","179,500","181,000","178,000","370.68K","0.56%"
"2019년 12월 16일","179,500","175,000","180,000","174,000","0.01K","2.28%"
"2019년 12월 13일","175,500","177,500","177,500","173,000","317.81K","0.00%"
"2019년 12월 12일","175,500","174,500","176,500","173,000","609.61K","0.86%"
"2019년 12월 11일","174,000","175,000","175,500","173,500","200.70K","-0.29%"
"2019년 12월 10일","174,500","174,500","175,500","173,000","215.45K","-0.29%"
"2019년 12월 09일","175,000","174,000","175,500","173,000","271.83K","0.57%"
"2019년 12월 06일","174,000","172,000","174,500","170,500","208.70K","2.05%"
"2019년 12월 05일","170,500","173,000","174,000","170,000","271.11K","-2.29%"
"2019년 12월 04일","174,500","172,000","175,500","171,000","228.57K","1.45%"
"2019년 12월 03일","172,000","170,500","173,500","168,500","245.49K","0.29%"
"2019년 12월 02일","171,500","172,500","175,000","170,000","275.50K","-0.29%"
"2019년 12월 01일","172,000","172,000","172,000","172,000","-","0.00%"
"2019년 11월 29일","172,000","173,000","173,500","168,500","348.82K","-0.58%"
"2019년 11월 28일","173,000","172,500","174,500","170,000","252.71K","0.29%"
"2019년 11월 27일","172,500","175,000","175,500","172,000","298.55K","-0.29%"
"2019년 11월 26일","173,000","173,500","175,500","171,500","774.08K","-0.57%"
"2019년 11월 25일","174,000","168,000","174,500","167,000","490.37K","3.88%"
"2019년 11월 22일","167,500","169,500","171,000","165,500","475.02K","-1.47%"
"2019년 11월 21일","170,000","169,000","172,500","168,000","542.23K","0.29%"
"2019년 11월 20일","169,500","170,500","174,000","168,000","591.99K","-0.59%"
"2019년 11월 19일","170,500","174,500","176,000","169,500","1.02M","-4.48%"
"2019년 11월 18일","178,500","177,500","181,500","172,500","874.71K","2.88%"
"2019년 11월 17일","173,500","173,500","173,500","173,500","-","0.00%"
"2019년 11월 15일","173,500","177,000","179,000","173,000","882.64K","-3.61%"
"2019년 11월 14일","180,000","170,000","180,000","169,500","2.04M","13.92%"
"2019년 11월 13일","158,000","158,500","159,000","156,000","500.15K","-2.47%"
"2019년 11월 12일","162,000","164,000","164,000","160,000","236.60K","-0.61%"
"2019년 11월 11일","163,000","163,500","165,000","162,500","231.08K","-0.31%"
"2019년 11월 10일","163,500","163,500","163,500","163,500","-","0.00%"
"2019년 11월 08일","163,500","165,000","165,000","162,000","306.86K","-1.21%"
"2019년 11월 07일","165,500","162,000","166,500","161,000","390.27K","2.48%"
"2019년 11월 06일","161,500","161,500","164,000","160,500","332.70K","0.00%"
"2019년 11월 05일","161,500","164,000","164,500","159,500","661.93K","-1.82%"
"2019년 11월 04일","164,500","165,500","167,000","162,000","451.99K","-1.50%"
"2019년 11월 01일","167,000","166,000","168,500","164,000","648.18K","1.83%"
"2019년 10월 31일","164,000","159,000","167,000","157,500","1.39M","6.15%"
"2019년 10월 30일","154,500","152,000","154,500","151,500","290.63K","0.98%"
"2019년 10월 29일","153,000","157,500","158,000","152,000","320.86K","-2.55%"
"2019년 10월 28일","157,000","152,500","158,000","152,500","335.18K","2.95%"
"2019년 10월 25일","152,500","151,000","153,500","151,000","162.50K","-0.33%"
"2019년 10월 24일","153,000","151,500","153,000","150,500","224.56K","0.33%"
"2019년 10월 23일","152,500","152,000","153,500","151,500","226.74K","-0.97%"
"2019년 10월 22일","154,000","150,500","154,500","150,500","334.46K","1.32%"
"2019년 10월 21일","152,000","151,500","153,500","149,000","245.41K","1.00%"
"2019년 10월 20일","150,500","150,500","150,500","150,500","-","0.00%"
"2019년 10월 18일","150,500","151,500","153,500","150,000","244.91K","-1.63%"
"2019년 10월 17일","153,000","155,000","156,500","152,000","280.07K","-0.97%"
"2019년 10월 16일","154,500","151,500","155,000","151,000","271.14K","1.98%"
"2019년 10월 15일","151,500","156,500","156,500","150,500","297.40K","-2.88%"
"2019년 10월 14일","156,000","156,000","156,500","153,500","246.40K","0.00%"
"2019년 10월 11일","156,000","156,500","157,000","153,500","216.73K","1.63%"
"2019년 10월 10일","153,500","151,500","155,500","150,500","367.75K","0.00%"
"2019년 10월 08일","153,500","154,500","154,500","151,500","250.78K","0.33%"
"2019년 10월 07일","153,000","150,500","153,500","150,000","387.37K","1.66%"
"2019년 10월 04일","150,500","155,500","159,000","148,500","602.43K","-4.14%"
"2019년 10월 02일","157,000","159,000","160,000","156,500","193.09K","-1.88%"
"2019년 10월 01일","160,000","157,500","160,000","157,000","260.48K","1.91%"
"2019년 09월 30일","157,000","155,000","157,500","154,500","312.89K","0.64%"
"2019년 09월 29일","156,000","156,000","156,000","156,000","-","0.00%"
"2019년 09월 27일","156,000","158,500","158,500","154,500","227.43K","-1.27%"
"2019년 09월 26일","158,000","157,500","159,000","156,500","249.04K","0.00%"
"2019년 09월 25일","158,000","155,500","159,000","155,500","222.88K","0.00%"
"2019년 09월 24일","158,000","157,000","158,500","155,500","195.96K","0.64%"
"2019년 09월 23일","157,000","157,500","158,000","155,500","193.72K","0.00%"
"2019년 09월 22일","157,000","157,000","157,000","157,000","-","0.00%"
"2019년 09월 20일","157,000","156,000","158,000","156,000","287.21K","-0.32%"
"2019년 09월 19일","157,500","157,000","158,000","156,000","362.27K","-0.94%"
"2019년 09월 18일","159,000","156,000","159,500","155,500","465.17K","2.58%"
"2019년 09월 17일","155,000","153,000","155,500","153,000","271.56K","0.32%"
"2019년 09월 16일","154,500","154,500","156,500","153,500","420.49K","0.65%"
"2019년 09월 11일","153,500","150,500","154,000","150,000","627.63K","1.99%"
"2019년 09월 10일","150,500","153,000","153,000","150,000","296.93K","-1.63%"
"2019년 09월 09일","153,000","149,500","154,000","148,500","464.09K","2.34%"
"2019년 09월 08일","149,500","149,500","149,500","149,500","-","0.00%"
"2019년 09월 06일","149,500","146,000","150,000","145,500","223.18K","1.70%"
"2019년 09월 05일","147,000","150,000","151,000","145,000","516.19K","-2.65%"
"2019년 09월 04일","151,000","149,500","151,000","149,000","263.19K","0.33%"
"2019년 09월 03일","150,500","151,500","151,500","149,000","288.84K","0.33%"
"2019년 09월 02일","150,000","156,000","156,000","147,500","371.59K","2.39%"
"2019년 08월 30일","146,500","146,000","149,000","144,500","370.59K","1.03%"
"2019년 08월 29일","145,000","146,500","146,500","143,500","374.55K","-1.02%"
"2019년 08월 28일","146,500","146,500","147,500","144,500","309.14K","0.00%"
"2019년 08월 27일","146,500","144,000","147,500","141,500","897.36K","2.09%"
"2019년 08월 26일","143,500","145,500","147,000","143,000","376.29K","-3.37%"
"2019년 08월 23일","148,500","149,000","149,000","145,500","367.24K","0.34%"
"2019년 08월 22일","148,000","148,000","150,500","147,500","499.45K","0.34%"
"2019년 08월 21일","147,500","144,500","148,500","142,500","514.04K","1.37%"
"2019년 08월 20일","145,500","139,000","145,500","139,000","555.95K","4.68%"
"2019년 08월 19일","139,000","139,000","141,000","138,000","319.30K","-0.36%"
"2019년 08월 16일","139,500","138,500","140,500","137,500","351.11K","0.36%"
"2019년 08월 15일","139,000","139,000","139,000","139,000","-","0.00%"
"2019년 08월 14일","139,000","142,500","143,000","138,500","432.82K","-2.46%"
"2019년 08월 13일","142,500","139,000","144,500","138,500","352.20K","1.42%"
"2019년 08월 12일","140,500","142,500","144,500","140,500","217.13K","-1.40%"
"2019년 08월 11일","142,500","142,500","142,500","142,500","-","0.00%"
"2019년 08월 09일","142,500","142,000","145,000","140,500","368.00K","1.79%"
"2019년 08월 08일","140,000","139,500","142,000","136,500","496.43K","1.82%"
"2019년 08월 07일","137,500","139,000","139,500","136,000","336.40K","-0.72%"
"2019년 08월 06일","138,500","134,000","140,000","132,000","609.92K","0.36%"
"2019년 08월 05일","138,000","141,000","142,000","135,500","708.58K","-2.82%"
"2019년 08월 04일","142,000","142,000","142,000","142,000","-","0.00%"
"2019년 08월 02일","142,000","139,000","142,500","138,500","483.70K","1.07%"
"2019년 08월 01일","140,500","139,500","141,500","138,500","374.45K","1.81%"
"2019년 07월 31일","138,000","139,000","139,500","136,000","361.37K","-0.36%"
"2019년 07월 30일","138,500","140,000","140,500","136,500","364.37K","0.00%"
"2019년 07월 29일","138,500","139,500","141,000","137,000","583.40K","-1.77%"
"2019년 07월 28일","141,000","141,000","141,000","141,000","-","0.00%"
"2019년 07월 26일","141,000","137,500","142,000","136,500","1.44M","5.22%"
"2019년 07월 25일","134,000","125,500","134,500","125,000","1.62M","8.50%"
