"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","0.1929","0.1931","0.1941","0.1900","15.32M","-0.21%"
"2019년 12월 30일","0.1933","0.1965","0.1980","0.1922","26.55M","-1.63%"
"2019년 12월 29일","0.1965","0.1932","0.1983","0.1911","29.98M","1.71%"
"2019년 12월 28일","0.1932","0.1900","0.1947","0.1897","25.25M","1.68%"
"2019년 12월 27일","0.1900","0.1893","0.1900","0.1858","24.94M","0.37%"
"2019년 12월 26일","0.1893","0.1886","0.1939","0.1872","47.46M","0.37%"
"2019년 12월 25일","0.1886","0.1907","0.1913","0.1865","32.52M","-1.15%"
"2019년 12월 24일","0.1908","0.1897","0.1937","0.1876","49.84M","0.58%"
"2019년 12월 23일","0.1897","0.1964","0.1983","0.1884","53.91M","-3.41%"
"2019년 12월 22일","0.1964","0.1915","0.1965","0.1904","37.29M","2.56%"
"2019년 12월 21일","0.1915","0.1951","0.1960","0.1901","34.93M","-1.85%"
"2019년 12월 20일","0.1951","0.1878","0.1978","0.1839","78.87M","3.89%"
"2019년 12월 19일","0.1878","0.1956","0.1969","0.1847","50.92M","-3.99%"
"2019년 12월 18일","0.1956","0.1831","0.1997","0.1755","133.56M","6.83%"
"2019년 12월 17일","0.1831","0.2055","0.2057","0.1788","152.38M","-10.90%"
"2019년 12월 16일","0.2055","0.2173","0.2174","0.2030","59.33M","-5.43%"
"2019년 12월 15일","0.2173","0.2161","0.2191","0.2147","12.68M","0.56%"
"2019년 12월 14일","0.2161","0.2206","0.2208","0.2147","12.35M","-2.00%"
"2019년 12월 13일","0.2205","0.2185","0.2206","0.2155","24.56M","0.87%"
"2019년 12월 12일","0.2186","0.2210","0.2224","0.2176","22.37M","-1.09%"
"2019년 12월 11일","0.2210","0.2225","0.2235","0.2200","17.59M","-0.72%"
"2019년 12월 10일","0.2226","0.2243","0.2253","0.2191","28.30M","-0.80%"
"2019년 12월 09일","0.2244","0.2291","0.2303","0.2213","31.47M","-2.05%"
"2019년 12월 08일","0.2291","0.2271","0.2318","0.2236","26.59M","0.88%"
"2019년 12월 07일","0.2271","0.2254","0.2279","0.2231","23.77M","0.75%"
"2019년 12월 06일","0.2254","0.2210","0.2263","0.2189","43.28M","1.99%"
"2019년 12월 05일","0.2210","0.2140","0.2255","0.2121","50.20M","3.27%"
"2019년 12월 04일","0.2140","0.2193","0.2247","0.2099","86.83M","-2.42%"
"2019년 12월 03일","0.2193","0.2192","0.2219","0.2178","20.96M","0.05%"
"2019년 12월 02일","0.2192","0.2249","0.2262","0.2175","37.65M","-2.49%"
"2019년 12월 01일","0.2248","0.2255","0.2255","0.2187","38.22M","-0.31%"
"2019년 11월 30일","0.2255","0.2300","0.2319","0.2237","28.54M","-1.96%"
"2019년 11월 29일","0.2300","0.2231","0.2322","0.2227","46.34M","3.09%"
"2019년 11월 28일","0.2231","0.2240","0.2294","0.2226","39.07M","-0.45%"
"2019년 11월 27일","0.2241","0.2207","0.2294","0.2127","81.09M","1.54%"
"2019년 11월 26일","0.2207","0.2172","0.2218","0.2134","54.19M","1.33%"
"2019년 11월 25일","0.2178","0.2201","0.2245","0.2002","189.38M","-1.00%"
"2019년 11월 24일","0.2200","0.2340","0.2346","0.2192","52.18M","-5.94%"
"2019년 11월 23일","0.2339","0.2301","0.2354","0.2254","56.60M","1.70%"
"2019년 11월 22일","0.2300","0.2434","0.2457","0.2216","118.40M","-5.47%"
"2019년 11월 21일","0.2433","0.2502","0.2537","0.2371","70.05M","-2.76%"
"2019년 11월 20일","0.2502","0.2539","0.2584","0.2481","42.30M","-1.38%"
"2019년 11월 19일","0.2537","0.2518","0.2563","0.2431","44.39M","0.75%"
"2019년 11월 18일","0.2518","0.2630","0.2630","0.2411","67.34M","-4.22%"
"2019년 11월 17일","0.2629","0.2622","0.2660","0.2593","27.91M","0.27%"
"2019년 11월 16일","0.2622","0.2607","0.2640","0.2593","38.26M","0.58%"
"2019년 11월 15일","0.2607","0.2679","0.2694","0.2532","68.96M","-2.80%"
"2019년 11월 14일","0.2682","0.2721","0.2728","0.2637","38.39M","-1.43%"
