"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","55,800","56,200","56,600","55,700","8.35M","-1.24%"
"2019년 12월 29일","56,500","56,500","56,500","56,500","-","0.00%"
"2019년 12월 27일","56,500","55,700","56,900","55,500","12.29M","1.99%"
"2019년 12월 26일","55,400","54,800","55,400","54,400","5.92K","0.73%"
"2019년 12월 25일","55,000","55,000","55,000","55,000","-","0.00%"
"2019년 12월 24일","55,000","55,600","55,700","54,800","9.19M","-0.90%"
"2019년 12월 23일","55,500","56,100","56,400","55,100","0.00K","-0.89%"
"2019년 12월 22일","56,000","56,000","56,000","56,000","-","0.00%"
"2019년 12월 20일","56,000","56,200","56,500","55,600","12.07M","0.00%"
"2019년 12월 19일","56,000","56,900","57,200","55,500","0.12K","-0.53%"
"2019년 12월 18일","56,300","56,700","57,200","56,000","0.09K","-0.71%"
"2019년 12월 17일","56,700","55,700","56,700","55,400","3.76K","3.66%"
"2019년 12월 16일","54,700","54,500","54,900","54,300","0.20K","0.00%"
"2019년 12월 15일","54,700","54,700","54,700","54,700","-","0.00%"
"2019년 12월 13일","54,700","54,500","54,800","53,900","17.59M","2.63%"
"2019년 12월 12일","53,300","53,000","53,300","52,700","28.45M","2.70%"
"2019년 12월 11일","51,900","51,500","52,200","51,400","11.00M","0.78%"
"2019년 12월 10일","51,500","51,000","51,600","50,700","6.87M","0.59%"
"2019년 12월 09일","51,200","50,900","51,400","50,700","8.27M","1.59%"
"2019년 12월 08일","50,400","50,400","50,400","50,400","-","0.00%"
"2019년 12월 06일","50,400","50,100","50,900","49,950","10.87M","1.82%"
"2019년 12월 05일","49,500","50,200","50,400","49,500","10.02M","0.10%"
"2019년 12월 04일","49,450","49,600","49,850","49,000","12.96M","-0.90%"
"2019년 12월 03일","49,900","49,800","50,300","49,500","12.00M","-0.99%"
"2019년 12월 02일","50,400","50,900","51,300","50,400","9.59M","0.20%"
"2019년 12월 01일","50,300","50,300","50,300","50,300","-","0.00%"
"2019년 11월 29일","50,300","51,200","51,400","50,200","11.01M","-1.95%"
"2019년 11월 28일","51,300","51,900","52,100","51,300","6.15M","-1.72%"
"2019년 11월 27일","52,200","51,800","52,300","51,600","7.19M","0.77%"
"2019년 11월 26일","51,800","51,900","52,900","51,800","26.04M","0.00%"
"2019년 11월 25일","51,800","52,200","52,600","51,700","9.01M","0.39%"
"2019년 11월 22일","51,600","51,000","51,600","50,900","8.33M","1.18%"
"2019년 11월 21일","51,000","51,600","52,100","50,600","14.25M","-1.92%"
"2019년 11월 20일","52,000","53,400","53,400","52,000","11.83M","-2.80%"
"2019년 11월 19일","53,500","53,200","53,500","52,700","8.10M","0.00%"
"2019년 11월 18일","53,500","53,600","53,800","53,200","7.65M","-0.37%"
"2019년 11월 17일","53,700","53,700","53,700","53,700","-","0.00%"
"2019년 11월 15일","53,700","52,900","53,700","52,600","9.68M","1.70%"
"2019년 11월 14일","52,800","51,900","52,800","51,900","12.00M","0.57%"
"2019년 11월 13일","52,500","52,500","52,500","52,000","6.22M","-0.19%"
"2019년 11월 12일","52,600","51,800","52,600","51,600","6.10M","1.94%"
"2019년 11월 11일","51,600","52,200","52,200","51,400","8.18M","-0.96%"
"2019년 11월 10일","52,100","52,100","52,100","52,100","-","0.00%"
"2019년 11월 08일","52,100","53,200","53,300","52,000","10.39M","-1.51%"
"2019년 11월 07일","52,900","53,400","53,400","52,400","9.14M","-0.75%"
"2019년 11월 06일","53,300","52,900","53,500","52,700","13.12M","1.14%"
"2019년 11월 05일","52,700","52,400","52,700","52,100","10.12M","0.76%"
"2019년 11월 04일","52,300","51,700","52,300","51,400","12.76M","2.15%"
"2019년 11월 03일","51,200","51,200","51,200","51,200","-","0.00%"
"2019년 11월 01일","51,200","50,600","51,200","50,400","7.54M","1.59%"
"2019년 10월 31일","50,400","51,000","51,400","50,300","10.21M","0.00%"
"2019년 10월 30일","50,400","50,700","50,800","50,200","8.87M","-1.37%"
"2019년 10월 29일","51,100","51,400","51,700","50,800","7.14M","-0.39%"
"2019년 10월 28일","51,300","50,700","51,500","50,700","6.34M","0.79%"
"2019년 10월 27일","50,900","50,900","50,900","50,900","-","0.00%"
"2019년 10월 25일","50,900","50,800","51,200","50,500","7.84M","0.39%"
"2019년 10월 24일","50,700","52,500","52,500","50,500","10.77M","-0.98%"
"2019년 10월 23일","51,200","51,300","51,500","50,800","8.46M","0.00%"
"2019년 10월 22일","51,200","50,800","51,500","50,700","10.71M","1.79%"
"2019년 10월 21일","50,300","49,900","50,400","49,800","4.39M","0.80%"
"2019년 10월 20일","49,900","49,900","49,900","49,900","-","0.00%"
"2019년 10월 18일","49,900","50,300","50,900","49,650","8.40M","-1.19%"
"2019년 10월 17일","50,500","50,500","50,600","50,100","6.61M","-0.39%"
"2019년 10월 16일","50,700","50,700","50,900","50,400","9.01M","1.20%"
"2019년 10월 15일","50,100","49,900","50,200","49,900","5.90M","0.20%"
"2019년 10월 14일","50,000","50,000","50,300","49,850","10.87M","1.73%"
"2019년 10월 13일","49,150","49,150","49,150","49,150","-","0.00%"
"2019년 10월 11일","49,150","49,000","49,450","48,800","7.73M","1.24%"
"2019년 10월 10일","48,550","48,200","49,200","48,000","17.84M","-0.72%"
"2019년 10월 09일","48,900","48,900","48,900","48,900","-","0.00%"
"2019년 10월 08일","48,900","47,900","49,000","47,600","13.29M","2.41%"
"2019년 10월 07일","47,750","48,350","48,700","47,650","6.47M","-0.52%"
"2019년 10월 06일","48,000","48,000","48,000","48,000","-","0.00%"
"2019년 10월 04일","48,000","47,400","48,650","47,350","8.46M","0.84%"
"2019년 10월 03일","47,600","47,600","47,600","47,600","-","0.00%"
"2019년 10월 02일","47,600","48,350","48,400","47,600","8.37M","-2.56%"
"2019년 10월 01일","48,850","48,900","49,100","48,650","6.20M","-0.41%"
"2019년 09월 30일","49,050","48,050","49,250","47,900","9.20M","1.34%"
"2019년 09월 29일","48,400","48,400","48,400","48,400","-","0.00%"
"2019년 09월 27일","48,400","48,000","48,700","48,000","8.03M","-1.63%"
"2019년 09월 26일","49,200","49,000","49,250","48,900","8.36M","0.61%"
