"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 30일","94,100","95,600","96,200","94,100","1.86M","-1.98%"
"2019년 12월 29일","96,000","96,000","96,000","96,000","-","0.00%"
"2019년 12월 27일","96,000","94,800","97,000","94,200","2.23M","1.27%"
"2019년 12월 26일","94,800","94,000","95,100","93,500","0.36K","1.07%"
"2019년 12월 25일","93,800","93,800","93,800","93,800","-","0.00%"
"2019년 12월 24일","93,800","95,000","95,600","93,800","1.46M","-0.85%"
"2019년 12월 23일","94,600","95,700","96,100","94,100","1.70M","-0.42%"
"2019년 12월 22일","95,000","95,000","95,000","95,000","-","0.00%"
"2019년 12월 20일","95,000","94,200","95,100","93,700","2.78M","1.50%"
"2019년 12월 19일","93,600","95,000","96,300","93,400","0.01K","0.65%"
"2019년 12월 18일","93,000","93,300","94,500","91,800","0.01K","0.22%"
"2019년 12월 17일","92,800","90,800","93,800","90,300","0.65K","4.74%"
"2019년 12월 16일","88,600","87,200","89,300","87,000","0.02K","0.80%"
"2019년 12월 15일","87,900","87,900","87,900","87,900","-","0.00%"
"2019년 12월 13일","87,900","87,200","88,200","85,800","5.76M","5.40%"
"2019년 12월 12일","83,400","82,000","83,500","82,000","5.11M","3.47%"
"2019년 12월 11일","80,600","80,700","81,000","80,100","1.98M","-0.12%"
"2019년 12월 10일","80,700","79,800","80,900","79,400","1.79M","0.00%"
"2019년 12월 09일","80,700","81,300","81,800","80,700","1.99M","0.12%"
"2019년 12월 08일","80,600","80,600","80,600","80,600","-","0.00%"
"2019년 12월 06일","80,600","79,300","80,800","79,100","2.49M","2.28%"
"2019년 12월 05일","78,800","79,800","79,900","78,000","3.26M","1.42%"
"2019년 12월 04일","77,700","78,000","78,100","76,800","4.13M","-1.27%"
"2019년 12월 03일","78,700","78,100","79,300","77,300","3.86M","-2.24%"
"2019년 12월 02일","80,500","80,900","81,800","80,500","1.86M","-0.49%"
"2019년 12월 01일","80,900","80,900","80,900","80,900","-","0.00%"
"2019년 11월 29일","80,900","82,500","82,800","80,700","2.02M","-2.29%"
"2019년 11월 28일","82,800","83,100","83,800","82,500","1.40M","0.12%"
"2019년 11월 27일","82,700","82,400","83,200","82,000","1.32M","0.49%"
"2019년 11월 26일","82,300","82,000","84,100","82,000","4.50M","0.73%"
"2019년 11월 25일","81,700","82,300","83,300","81,500","2.60M","0.00%"
"2019년 11월 24일","81,700","81,700","81,700","81,700","-","0.00%"
"2019년 11월 22일","81,700","80,900","82,100","80,700","2.06M","0.99%"
"2019년 11월 21일","80,900","81,700","82,500","80,500","3.17M","-2.18%"
"2019년 11월 20일","82,700","84,400","85,200","82,600","3.31M","-3.05%"
"2019년 11월 19일","85,300","85,400","86,000","84,600","2.22M","-0.23%"
"2019년 11월 18일","85,500","86,000","86,500","84,700","1.81M","0.35%"
"2019년 11월 17일","85,200","85,200","85,200","85,200","-","0.00%"
"2019년 11월 15일","85,200","84,200","85,200","83,400","2.39M","2.16%"
"2019년 11월 14일","83,400","83,200","83,800","82,900","1.52M","0.00%"
"2019년 11월 13일","83,400","83,300","83,600","82,300","1.28M","0.24%"
