"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","0.04495","0.04557","0.04575","0.04476","310.04M","-1.38%"
"2019년 12월 30일","0.04558","0.04616","0.04668","0.04538","325.83M","-1.26%"
"2019년 12월 29일","0.04616","0.04589","0.04649","0.04575","331.96M","0.59%"
"2019년 12월 28일","0.04589","0.04580","0.04649","0.04572","306.16M","0.20%"
"2019년 12월 27일","0.04580","0.04468","0.04604","0.04411","315.19M","2.49%"
"2019년 12월 26일","0.04468","0.04434","0.04561","0.04406","280.64M","0.77%"
"2019년 12월 25일","0.04434","0.04503","0.04504","0.04365","235.19M","-1.55%"
"2019년 12월 24일","0.04503","0.04497","0.04576","0.04448","281.86M","0.15%"
"2019년 12월 23일","0.04497","0.04719","0.04743","0.04456","411.85M","-4.72%"
"2019년 12월 22일","0.04719","0.04540","0.04721","0.04525","350.16M","3.94%"
"2019년 12월 21일","0.04541","0.04623","0.04641","0.04534","296.18M","-1.78%"
"2019년 12월 20일","0.04623","0.04515","0.04650","0.04465","432.15M","2.41%"
"2019년 12월 19일","0.04514","0.04651","0.04695","0.04451","463.97M","-2.95%"
"2019년 12월 18일","0.04651","0.04314","0.04765","0.04215","618.65M","7.82%"
"2019년 12월 17일","0.04314","0.04706","0.04711","0.04217","722.56M","-8.33%"
"2019년 12월 16일","0.04706","0.05101","0.05114","0.04673","410.04M","-7.74%"
"2019년 12월 15일","0.05101","0.05091","0.05142","0.05032","256.47M","0.16%"
"2019년 12월 14일","0.05093","0.05268","0.05286","0.05019","299.73M","-3.33%"
"2019년 12월 13일","0.05268","0.05199","0.05301","0.05186","305.70M","1.26%"
"2019년 12월 12일","0.05203","0.05282","0.05330","0.05141","498.43M","-1.46%"
"2019년 12월 11일","0.05280","0.05315","0.05374","0.05238","708.63M","-0.63%"
"2019년 12월 10일","0.05313","0.05465","0.05465","0.05241","283.55M","-2.78%"
"2019년 12월 09일","0.05465","0.05580","0.05601","0.05410","200.26M","-2.05%"
