"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 12월 31일","418.33","405.00","421.29","402.08","10.29M","0.88%"
"2019년 12월 30일","414.70","428.79","429.00","409.26","12.60M","-3.64%"
"2019년 12월 27일","430.38","435.00","435.31","426.11","9.96M","-0.13%"
"2019년 12월 26일","430.94","427.91","433.48","426.35","10.65M","1.34%"
"2019년 12월 24일","425.25","418.36","425.47","412.69","8.05M","1.44%"
"2019년 12월 23일","419.22","411.78","422.01","410.00","13.33M","3.36%"
"2019년 12월 20일","405.59","410.29","413.00","400.19","14.79M","0.38%"
"2019년 12월 19일","404.04","397.32","406.85","396.50","18.12M","2.77%"
"2019년 12월 18일","393.15","380.63","395.22","380.58","14.14M","3.74%"
"2019년 12월 17일","378.99","378.99","385.50","375.90","8.50M","-0.66%"
"2019년 12월 16일","381.50","362.55","383.61","362.50","18.22M","6.45%"
"2019년 12월 13일","358.39","361.05","365.21","354.64","6.57M","-0.36%"
"2019년 12월 12일","359.68","354.92","362.74","353.23","7.78M","1.98%"
"2019년 12월 11일","352.70","351.88","357.19","351.09","6.92M","1.11%"
"2019년 12월 10일","348.84","339.96","350.73","339.31","8.84M","2.74%"
"2019년 12월 09일","339.53","336.59","344.45","335.08","9.04M","1.08%"
"2019년 12월 06일","335.89","335.00","338.86","334.77","7.62M","1.67%"
"2019년 12월 05일","330.37","332.83","334.42","327.25","3.74M","-0.80%"
"2019년 12월 04일","333.03","337.75","337.86","332.85","5.54M","-0.94%"
"2019년 12월 03일","336.20","332.62","337.91","332.19","6.61M","0.40%"
"2019년 12월 02일","334.87","329.40","336.38","328.69","6.08M","1.49%"
"2019년 11월 29일","329.94","331.11","331.26","327.50","2.47M","-0.41%"
"2019년 11월 27일","331.29","331.12","333.93","328.57","5.56M","0.72%"
"2019년 11월 26일","328.92","335.27","335.50","327.10","7.96M","-2.21%"
"2019년 11월 25일","336.34","344.32","344.57","334.46","12.35M","0.99%"
"2019년 11월 22일","333.04","340.16","341.00","330.00","16.87M","-6.14%"
"2019년 11월 21일","354.83","354.51","360.84","354.00","6.11M","0.74%"
"2019년 11월 20일","352.22","360.00","361.20","349.57","6.73M","-2.03%"
"2019년 11월 19일","359.52","351.75","359.99","347.80","7.74M","2.72%"
"2019년 11월 18일","349.99","352.92","353.15","346.10","4.41M","-0.62%"
"2019년 11월 15일","352.17","350.64","352.80","348.36","4.81M","0.81%"
"2019년 11월 14일","349.35","346.11","353.84","342.91","6.47M","0.94%"
"2019년 11월 13일","346.11","355.00","356.33","345.18","8.47M","-1.09%"
"2019년 11월 12일","349.93","346.90","350.37","344.04","7.36M","1.40%"
"2019년 11월 11일","345.09","343.95","349.19","342.00","9.99M","2.36%"
"2019년 11월 08일","337.14","334.50","337.46","332.50","6.07M","0.48%"
"2019년 11월 07일","335.54","329.14","341.50","328.02","14.47M","2.74%"
"2019년 11월 06일","326.58","318.00","326.72","314.50","7.94M","2.95%"
"2019년 11월 05일","317.22","319.62","323.51","316.12","6.94M","-0.08%"
"2019년 11월 04일","317.47","314.80","321.94","309.26","8.79M","1.33%"
"2019년 11월 01일","313.31","316.32","316.48","309.80","6.38M","-0.51%"
"2019년 10월 31일","314.92","313.10","319.00","313.00","5.07M","-0.03%"
"2019년 10월 30일","315.01","313.00","318.79","309.97","9.64M","-0.38%"
"2019년 10월 29일","316.22","319.99","324.30","314.75","12.68M","-3.51%"
"2019년 10월 28일","327.71","327.54","340.84","322.60","18.87M","-0.13%"
"2019년 10월 25일","328.13","297.72","330.00","296.11","30.01M","9.49%"
"2019년 10월 24일","299.68","298.37","304.93","289.20","29.82M","17.67%"
"2019년 10월 23일","254.68","254.50","256.14","251.35","11.22M","-0.35%"
"2019년 10월 22일","255.58","254.32","258.33","250.85","4.63M","0.82%"
"2019년 10월 21일","253.50","258.33","259.50","250.18","5.11M","-1.34%"
"2019년 10월 18일","256.95","260.70","262.80","255.10","5.75M","-1.92%"
"2019년 10월 17일","261.97","262.50","264.78","260.17","4.78M","0.85%"
"2019년 10월 16일","259.75","257.39","262.10","256.92","6.70M","0.72%"
"2019년 10월 15일","257.89","257.70","260.00","254.12","6.48M","0.36%"
"2019년 10월 14일","256.96","247.90","258.55","247.13","10.23M","3.66%"
