"날짜","종가","오픈","고가","저가","변동 %"
"2019년 12월 31일","1.571","1.593","1.593","1.559","0.00%"
"2019년 12월 30일","1.571","1.583","1.609","1.569","-0.77%"
"2019년 12월 29일","1.583","1.585","1.585","1.583","-0.24%"
"2019년 12월 27일","1.587","1.631","1.635","1.585","-2.94%"
"2019년 12월 26일","1.635","1.633","1.649","1.625","0.25%"
"2019년 12월 25일","1.631","1.633","1.633","1.631","0.12%"
"2019년 12월 24일","1.629","1.663","1.671","1.623","-1.27%"
"2019년 12월 23일","1.650","1.633","1.661","1.629","0.88%"
"2019년 12월 22일","1.636","1.650","1.650","1.636","0.28%"
"2019년 12월 20일","1.631","1.627","1.646","1.623","0.00%"
"2019년 12월 19일","1.631","1.633","1.651","1.608","-0.24%"
"2019년 12월 18일","1.635","1.628","1.649","1.618","0.62%"
"2019년 12월 17일","1.625","1.628","1.635","1.620","-0.31%"
"2019년 12월 16일","1.630","1.614","1.647","1.612","0.87%"
"2019년 12월 15일","1.616","1.618","1.618","1.616","0.50%"
"2019년 12월 13일","1.608","1.691","1.691","1.598","-3.37%"
"2019년 12월 12일","1.664","1.617","1.697","1.585","3.03%"
"2019년 12월 11일","1.615","1.652","1.658","1.607","-2.36%"
"2019년 12월 10일","1.654","1.619","1.656","1.599","2.16%"
"2019년 12월 09일","1.619","1.623","1.629","1.607","-0.25%"
"2019년 12월 08일","1.623","1.625","1.625","1.623","0.25%"
"2019년 12월 06일","1.619","1.592","1.649","1.581","1.70%"
"2019년 12월 05일","1.592","1.578","1.604","1.568","0.89%"
"2019년 12월 04일","1.578","1.546","1.586","1.526","2.33%"
"2019년 12월 03일","1.542","1.602","1.622","1.512","-3.87%"
"2019년 12월 02일","1.604","1.622","1.648","1.602","-1.10%"
"2019년 12월 01일","1.622","1.620","1.622","1.620","0.61%"
"2019년 11월 29일","1.612","1.632","1.636","1.602","-0.98%"
"2019년 11월 28일","1.628","1.628","1.628","1.628","0.12%"
"2019년 11월 27일","1.626","1.592","1.630","1.584","2.26%"
"2019년 11월 26일","1.590","1.604","1.616","1.576","-1.30%"
"2019년 11월 25일","1.611","1.630","1.648","1.611","-1.27%"
"2019년 11월 24일","1.632","1.634","1.634","1.632","0.36%"
"2019년 11월 22일","1.626","1.602","1.634","1.589","1.06%"
"2019년 11월 21일","1.609","1.569","1.611","1.547","1.71%"
"2019년 11월 20일","1.582","1.586","1.594","1.565","-1.13%"
"2019년 11월 19일","1.600","1.600","1.621","1.588","0.00%"
"2019년 11월 18일","1.600","1.608","1.631","1.584","-0.37%"
"2019년 11월 17일","1.606","1.606","1.606","1.606","-0.50%"
"2019년 11월 15일","1.614","1.604","1.625","1.592","1.45%"
"2019년 11월 14일","1.591","1.642","1.648","1.577","-3.34%"
"2019년 11월 13일","1.646","1.660","1.671","1.622","-0.96%"
"2019년 11월 12일","1.662","1.672","1.695","1.648","-0.85%"
"2019년 11월 11일","1.676","1.674","1.676","1.674","-0.23%"
"2019년 11월 08일","1.680","1.675","1.699","1.638","0.06%"
"2019년 11월 07일","1.679","1.605","1.710","1.599","4.09%"
"2019년 11월 06일","1.613","1.627","1.629","1.592","-0.62%"
"2019년 11월 05일","1.623","1.602","1.651","1.586","2.20%"
"2019년 11월 04일","1.588","1.552","1.600","1.552","2.19%"
"2019년 11월 03일","1.554","1.554","1.554","1.554","0.00%"
"2019년 11월 01일","1.554","1.526","1.582","1.514","1.83%"
"2019년 10월 31일","1.526","1.606","1.628","1.518","-4.74%"
"2019년 10월 30일","1.602","1.645","1.673","1.598","-2.38%"
"2019년 10월 29일","1.641","1.651","1.666","1.626","-0.36%"
"2019년 10월 28일","1.647","1.630","1.668","1.624","0.95%"
"2019년 10월 27일","1.632","1.628","1.632","1.628","0.46%"
"2019년 10월 25일","1.624","1.574","1.643","1.570","2.65%"
