,CAD,CHF,EUR,GBP,JPY(100),BITCOIN,TETHER,USD
2018-02-01,870.1,1149.64,1329.86,1520.71,980.68,9181.1,0.993109,1069.6
2018-02-02,873.26,1156.51,1339.57,1527.55,978.62,8893.2,0.978577,1072.5
2018-02-05,864.82,1154.45,1338.23,1516.53,977.26,6938.5,0.995898,1076.7
2018-02-06,869.51,1168.56,1348.68,1521.91,998.31,7701.2,1.0106600000000001,1089.8
2018-02-07,875.55,1169.37,1354.85,1527.15,997.58,7594.7,0.995519,1094.3
2018-02-09,863.64,1162.3,1332.45,1514.33,1000.78,8699.8,1.0179200000000002,1087.8
2018-02-12,867.81,1162.63,1338.45,1510.11,1004.37,8903.5,1.0066700000000002,1092.7
2018-02-13,861.07,1153.6,1332.26,1499.59,996.64,8539.2,1.00146,1083.4
2018-02-14,859.88,1157.52,1337.2,1503.58,1004.13,9476.3,1.00366,1082.8
2018-02-19,860.31,1164.94,1341.18,1515.75,1016.62,11169.4,1.00329,1079.9
2018-02-20,850.25,1149.69,1325.01,1495.15,1001.74,11238.7,0.999762,1068.0
2018-02-21,846.15,1142.87,1320.27,1497.88,997.39,10473.0,1.0006,1070.3
2018-02-22,846.79,1144.48,1320.2,1495.9,998.0,9841.7,1.00128,1075.3
2018-02-23,852.61,1161.1,1335.81,1511.73,1015.04,10170.4,1.00319,1082.9
2018-02-26,853.21,1151.44,1325.96,1506.77,1008.42,10285.1,1.00504,1078.5
2018-02-27,846.53,1144.43,1321.89,1499.26,1003.22,10594.4,1.0012,1073.7
2018-02-28,838.59,1140.45,1310.42,1489.65,997.25,10333.9,0.998792,1071.0
2018-03-02,843.13,1148.7,1327.38,1489.83,1019.27,10827.7,1.00063,1081.9
2018-03-05,839.1,1154.25,1333.95,1492.03,1023.28,11330.6,0.996547,1081.3
2018-03-06,832.85,1149.53,1333.12,1496.55,1017.52,10675.1,0.997801,1080.5
2018-03-07,832.74,1147.28,1335.7,1495.34,1018.61,9902.9,1.0006899999999999,1075.4
2018-03-08,828.06,1132.76,1326.31,1485.87,1007.3,9300.0,1.00298,1068.7
2018-03-09,828.67,1123.45,1315.68,1475.83,1005.03,9217.0,1.00321,1068.4
2018-03-12,834.63,1124.17,1316.56,1481.48,1000.05,9137.4,1.00929,1069.2
2018-03-13,828.6,1123.09,1312.6,1479.7,1000.52,9154.9,0.999281,1064.3
2018-03-14,822.6,1129.32,1320.9,1488.98,1000.99,8210.6,0.9992190000000001,1065.8
2018-03-15,822.73,1128.19,1318.34,1488.55,1002.78,8264.4,0.995842,1065.8
2018-03-16,816.24,1120.07,1311.57,1485.25,1002.59,8289.2,1.0019,1065.8
2018-03-19,816.83,1122.82,1313.95,1491.45,1009.2,8616.8,0.996524,1069.6
2018-03-20,819.09,1125.92,1321.49,1502.41,1010.14,8912.6,0.998764,1071.2
2018-03-21,819.09,1120.18,1311.49,1499.67,1005.4,8905.9,1.00476,1071.0
2018-03-22,830.57,1129.33,1322.86,1515.12,1011.42,8726.2,1.00076,1071.4
2018-03-23,826.82,1128.56,1317.41,1508.43,1019.6,8916.8,0.9999389999999999,1069.2
2018-03-26,839.26,1141.77,1336.46,1529.66,1031.49,8143.5,1.00064,1080.8
2018-03-27,841.43,1144.07,1346.26,1538.93,1025.47,7801.7,1.00273,1081.2
2018-03-28,832.52,1133.16,1330.33,1519.04,1017.36,7954.9,1.00647,1072.2
2018-03-29,827.71,1117.8,1316.48,1505.88,1001.17,7129.2,1.0017200000000002,1069.4
2018-03-30,827.64,1115.12,1311.95,1496.78,1001.46,6853.7,0.992949,1066.5
2018-04-02,825.85,1115.02,1311.07,1493.62,1000.8,7068.4,1.00329,1064.4
2018-04-03,819.28,1107.96,1301.73,1487.11,999.67,7424.2,0.999559,1058.1
2018-04-04,826.21,1103.08,1298.08,1487.64,992.82,6808.9,1.00064,1057.8
2018-04-05,828.94,1101.55,1299.31,1489.89,990.68,6782.0,1.00017,1057.6
2018-04-06,829.19,1100.61,1297.41,1483.78,989.03,6624.3,1.0,1059.5
2018-04-09,834.47,1111.52,1308.52,1502.05,997.52,6781.9,0.9996149999999999,1066.0
2018-04-10,840.22,1116.57,1315.53,1508.54,1000.33,6854.8,0.997554,1067.5
2018-04-11,847.58,1115.85,1319.57,1513.73,996.17,6962.1,0.998841,1067.7
2018-04-12,848.23,1113.68,1319.08,1512.42,998.27,7926.6,0.995092,1066.4
2018-04-13,848.88,1110.57,1317.49,1521.03,996.5,7887.4,0.9998283640746356,1068.7
2018-04-16,848.77,1110.48,1319.15,1523.52,994.75,8070.0,1.0002910185606737,1070.0
2018-04-17,853.8,1117.99,1328.61,1538.72,1001.63,7908.6,1.0006716144914527,1073.1
2018-04-18,851.11,1104.8,1321.77,1526.96,998.22,8178.4,0.9981573496998144,1068.4
2018-04-19,844.69,1101.41,1320.7,1515.28,994.73,8290.8,0.9998616327779248,1066.5
2018-04-20,839.88,1094.64,1313.05,1497.78,990.32,8867.0,1.0005132586722247,1063.5
2018-04-23,836.34,1094.05,1310.8,1494.91,990.12,8952.8,1.0026592971630954,1067.3
2018-04-24,832.18,1092.78,1304.97,1489.83,983.35,9645.3,1.0013757448293739,1068.9
2018-04-25,839.59,1100.06,1317.64,1505.56,989.52,8873.1,1.0018936953287871,1076.9
2018-04-26,840.37,1097.52,1312.72,1503.22,985.79,9287.0,1.0008864360542655,1078.7
2018-04-27,838.67,1091.43,1306.92,1502.51,987.43,8940.9,1.0004195946359566,1079.7
2018-04-30,837.84,1088.89,1304.46,1482.2,985.94,9245.1,1.0003177691598195,1076.2
2018-05-02,830.97,1071.14,1279.88,1452.71,971.38,9243.2,0.9989892195864865,1067.5
2018-05-03,834.65,1075.6,1284.72,1459.55,978.83,9749.7,0.9990346990554929,1074.9
2018-05-04,837.55,1078.87,1290.35,1460.86,986.3,9708.6,1.0239439329625994,1076.5
2018-05-08,835.75,1073.85,1283.91,1460.06,986.85,9196.4,0.9985963659994862,1076.7
2018-05-09,832.39,1076.32,1279.12,1460.91,988.49,9319.1,0.9989295809834556,1078.2
2018-05-10,841.74,1075.6,1281.99,1465.32,985.46,9025.7,1.0008221982543084,1081.3
2018-05-11,842.22,1072.35,1281.6,1453.75,983.04,8408.3,0.9994011946621236,1075.3
2018-05-14,835.73,1068.28,1276.66,1447.74,977.23,8674.1,1.0008624578925045,1068.6
2018-05-15,833.35,1066.28,1272.61,1446.52,972.07,8477.0,1.0012721829359341,1066.6
2018-05-16,833.18,1071.53,1268.4,1448.22,973.1,8344.4,0.99865001136649,1072.6
2018-05-17,844.02,1078.27,1274.92,1461.53,977.84,8063.0,1.0028015072025431,1078.7
2018-05-18,841.23,1077.74,1273.2,1458.73,974.27,8245.7,1.0014577027182099,1079.3
2018-05-21,838.67,1082.33,1270.89,1455.46,974.33,8403.3,1.0010412980555885,1080.0
2018-05-23,845.79,1092.38,1276.99,1456.25,977.94,7512.3,0.9973855831953938,1083.8
2018-05-24,840.42,1084.93,1262.95,1440.9,980.59,7592.9,1.0006616552183614,1078.8
2018-05-25,838.11,1089.45,1265.25,1444.91,988.19,7477.7,1.0014008480947831,1079.7
2018-05-28,831.4,1086.85,1260.95,1435.59,983.81,7119.3,0.9996686748522018,1078.7
2018-05-29,825.86,1080.06,1248.02,1428.64,980.49,7467.7,1.0041811332304318,1073.2
2018-05-30,826.53,1085.93,1242.2,1426.85,991.39,7400.1,0.999167831122068,1076.1
2018-05-31,838.8,1093.11,1261.34,1436.51,993.98,7502.6,0.9978797942359612,1081.3
2018-06-01,831.45,1093.4,1259.28,1430.97,989.61,7530.8,1.000784521551417,1076.4
2018-06-04,830.28,1088.46,1255.15,1436.89,982.51,7504.3,1.0013862163024,1076.0
2018-06-05,828.36,1083.58,1252.42,1425.85,974.21,7631.5,1.0029627177435758,1070.9
2018-06-07,826.33,1084.46,1260.04,1435.19,970.91,7697.8,0.9981728944421716,1069.6
2018-06-08,823.11,1089.03,1259.8,1433.34,973.78,7622.1,0.999269500127054,1067.9
2018-06-11,827.48,1089.76,1263.69,1439.27,980.81,6885.9,1.0027009440251886,1073.2
2018-06-12,826.82,1088.8,1264.31,1436.34,974.18,6558.2,1.0016316268669698,1073.5
2018-06-14,828.79,1091.69,1268.35,1438.65,975.32,6647.1,1.0013850423535695,1075.1
2018-06-15,826.21,1086.14,1253.59,1436.42,978.53,6410.3,1.0015814519805015,1082.5
2018-06-18,826.88,1093.81,1265.64,1448.72,986.84,6719.8,1.0001464213345308,1091.4
2018-06-19,836.67,1109.67,1283.64,1463.16,999.23,6752.4,1.0001249436395556,1104.4
2018-06-20,832.3,1112.06,1281.22,1456.22,1004.68,6765.4,1.0008279860339544,1105.5
2018-06-21,832.64,1112.28,1282.73,1459.85,1003.67,6728.0,0.9986637338041118,1108.0
2018-06-22,832.83,1118.45,1287.27,1469.15,1008.78,6055.7,1.0001956391511149,1109.0
2018-06-25,835.55,1122.71,1293.98,1471.45,1009.24,6256.6,1.002559811458834,1108.9
2018-06-26,839.65,1130.86,1306.34,1482.35,1017.74,6082.1,1.0004024678550811,1116.1
2018-06-27,838.37,1125.44,1299.38,1474.8,1013.22,6154.9,1.0015085546053313,1115.2
2018-06-28,838.38,1121.26,1292.24,1466.57,1013.97,5883.5,1.0013577191657372,1117.9
2018-06-29,846.12,1124.29,1297.02,1466.85,1014.79,6213.3,0.999485652713152,1121.7
2018-07-02,850.03,1128.09,1304.89,1475.54,1009.26,6619.5,0.998825215275785,1117.2
2018-07-03,847.54,1124.71,1300.82,1468.32,1008.26,6513.5,1.0000010612585055,1117.4
2018-07-04,852.97,1130.03,1307.03,1478.84,1014.34,6598.4,1.0005313991109133,1121.1
2018-07-05,848.78,1123.61,1300.11,1475.54,1009.55,6546.5,1.0046611535347438,1115.3
2018-07-06,851.56,1125.83,1307.47,1478.69,1010.85,6617.7,1.0032858911572344,1118.4
2018-07-09,853.51,1129.66,1313.08,1485.84,1012.22,6667.1,1.0040334797148331,1117.8
2018-07-10,848.21,1121.84,1306.95,1473.8,1003.2,6307.2,1.005683510656861,1112.3
2018-07-11,847.8,1122.33,1307.16,1477.34,1004.28,6389.1,1.0088041069770821,1113.8
2018-07-12,848.64,1125.3,1308.2,1480.18,1001.16,6250.6,1.0906624398505471,1120.8
2018-07-13,856.37,1124.43,1314.96,1485.71,1001.55,6230.2,1.010523218760076,1127.8
2018-07-16,853.78,1120.88,1312.13,1486.15,999.07,6729.9,1.134961877555378,1123.4
2018-07-17,859.24,1131.98,1321.59,1493.95,1004.63,7322.0,1.1829578820955602,1128.7
2018-07-18,852.49,1124.69,1311.31,1474.63,995.84,7383.6,1.1398135580296116,1125.2
2018-07-19,857.31,1130.14,1314.38,1476.09,1000.31,7477.5,1.0690635179225323,1128.9
2018-07-20,852.87,1131.94,1317.23,1472.31,1005.91,7339.4,1.1288588131084691,1131.2
2018-07-23,865.07,1144.76,1332.48,1491.58,1019.91,7723.0,1.2573620835712582,1134.8
2018-07-24,856.74,1136.34,1319.22,1478.62,1012.79,8407.0,1.3230953058056187,1128.5
2018-07-25,862.97,1142.28,1326.48,1492.62,1020.63,8173.7,0.9966418815303782,1135.2
2018-07-26,864.78,1137.68,1322.73,1487.68,1016.73,7937.0,0.9963116900401551,1127.5
2018-07-27,856.36,1126.02,1303.1,1467.24,1006.52,8187.4,0.9987306856355108,1119.6
2018-07-30,857.42,1126.76,1305.92,1468.32,1009.46,8177.1,0.9969980745654694,1120.0
2018-07-31,857.12,1130.09,1307.43,1466.9,1005.95,7729.4,0.9971535947443791,1116.7
2018-08-01,858.77,1128.79,1306.71,1466.46,1000.22,7606.4,0.996511571975064,1117.9
2018-08-02,861.17,1128.61,1305.5,1469.31,1002.51,7535.6,1.0000444530146089,1119.3
2018-08-03,862.28,1127.84,1301.04,1461.4,1005.6,7419.0,0.9978966664958394,1122.6
2018-08-06,866.97,1134.4,1304.76,1467.09,1014.16,6943.6,0.9507164861273689,1128.1
2018-08-07,864.13,1127.79,1298.65,1454.48,1009.07,6724.9,1.078959814899178,1123.5
2018-08-08,861.94,1130.85,1305.7,1456.77,1010.82,6283.6,0.9813234556501352,1125.7
2018-08-09,859.46,1126.63,1299.09,1441.46,1008.84,6538.8,1.1122108742547594,1118.8
2018-08-10,856.6,1124.31,1287.6,1433.32,1005.62,6152.3,0.9979278032834108,1117.9
2018-08-13,857.09,1133.33,1284.26,1438.34,1018.22,6255.3,0.9742569347564078,1126.3
2018-08-14,863.64,1141.35,1293.04,1447.11,1024.3,6190.2,0.9890205954407734,1133.7
2018-08-16,861.4,1139.51,1284.25,1437.26,1023.41,6306.7,1.0000759377722463,1132.1
2018-08-17,859.29,1133.93,1285.89,1437.35,1019.02,6581.7,0.9868326443137994,1130.7
2018-08-20,861.84,1130.86,1287.35,1434.8,1018.5,6268.1,1.0003604972572533,1125.6
2018-08-21,860.3,1132.34,1289.06,1435.44,1020.14,6482.2,1.0017850614180557,1121.7
2018-08-22,857.52,1135.75,1294.32,1442.93,1015.58,6359.6,1.0022845116819183,1118.2
2018-08-23,861.0,1138.34,1297.3,1444.86,1011.94,6521.2,0.9999428969328548,1118.7
2018-08-24,856.13,1136.25,1293.52,1435.97,1006.51,6680.4,1.0032344521602297,1120.8
2018-08-27,861.83,1141.32,1304.88,1441.79,1008.22,6897.6,0.9981899575637198,1121.8
2018-08-28,859.67,1137.27,1301.56,1436.5,1002.47,7074.6,1.0049770910822666,1114.3
2018-08-29,858.54,1136.6,1298.09,1428.74,998.47,7029.1,1.0044181368049123,1110.0
2018-08-30,858.74,1142.33,1298.02,1444.16,992.35,6993.7,1.003258736993496,1108.8
2018-08-31,854.01,1144.45,1293.19,1442.38,998.65,7033.8,0.9997843215537942,1108.8
2018-09-03,852.35,1148.32,1291.09,1439.27,1001.75,7264.2,1.0001495128293068,1113.3
2018-09-04,850.65,1148.94,1293.5,1433.13,1002.39,7377.5,0.997555937657755,1113.5
2018-09-05,845.56,1143.83,1290.63,1432.53,999.46,6706.8,0.998959522651822,1114.2
2018-09-06,848.34,1150.39,1300.05,1442.99,1002.42,6514.0,0.9927298764326596,1117.6
2018-09-07,852.46,1161.62,1303.34,1449.6,1013.15,6390.9,0.99971956288516,1121.2
2018-09-10,852.48,1159.21,1297.85,1451.66,1012.03,6321.0,1.0019226771600194,1123.1
2018-09-11,857.35,1157.44,1307.41,1469.8,1014.98,6293.9,0.9987512506699776,1128.1
2018-09-12,863.51,1158.54,1307.43,1467.26,1009.54,6338.0,0.9996731784805308,1126.8
2018-09-13,867.12,1161.87,1310.99,1470.73,1013.39,6482.9,0.9994016798600666,1127.3
2018-09-14,862.53,1160.54,1310.74,1469.73,1000.94,6483.7,0.9993476701112308,1121.2
2018-09-17,858.18,1157.15,1301.07,1463.41,999.42,6251.9,1.0013383499467152,1119.2
2018-09-18,862.69,1170.02,1314.61,1481.29,1008.15,6342.0,1.000104078076608,1126.2
2018-09-19,868.32,1168.48,1315.18,1482.89,1002.49,6390.4,0.9992801326335784,1126.3
2018-09-20,869.06,1160.78,1310.82,1475.85,1000.04,6489.2,1.0005638252522986,1123.0
2018-09-21,868.07,1167.9,1319.24,1486.56,995.73,6766.7,1.001529270525077,1119.9
2018-09-27,856.49,1156.62,1312.01,1470.62,990.2,6689.2,1.0003591967531758,1116.6
2018-09-28,853.49,1138.84,1294.57,1454.74,981.17,6636.0,1.001127280540107,1112.7
2018-10-01,864.74,1131.18,1288.39,1447.2,975.79,6608.2,0.999919351368124,1110.2
2018-10-02,867.28,1129.08,1286.03,1449.0,974.43,6549.9,0.9990141419784628,1110.9
2018-10-04,867.44,1126.03,1282.02,1445.4,975.15,6584.2,0.9994139264603008,1116.4
2018-10-05,873.2,1137.92,1299.52,1469.39,990.87,6639.1,1.0000079556124415,1128.3
2018-10-08,873.46,1140.28,1303.13,1484.16,994.33,6669.6,0.999782372822201,1130.7
2018-10-10,874.41,1140.77,1300.95,1487.45,1001.24,6618.0,0.9974842371813536,1131.7
2018-10-11,867.95,1144.86,1306.17,1495.47,1008.86,6239.1,0.995281564955,1132.5
2018-10-12,877.23,1154.16,1324.39,1511.87,1018.91,6291.3,0.9986056931211404,1142.5
2018-10-15,870.36,1143.42,1309.13,1485.13,1010.21,6699.8,0.9960227568625548,1133.3
2018-10-16,872.72,1148.27,1312.87,1491.04,1013.82,6705.3,0.9855572887575764,1133.4
2018-10-17,872.03,1139.03,1305.89,1487.51,1004.59,6686.6,0.9825140189038144,1128.1
2018-10-18,863.72,1129.74,1293.92,1473.69,998.89,6574.1,0.9886988229992332,1125.0
