Date,Rate
2018-07-02,1117.2
2018-07-03,1117.4
2018-07-04,1121.1
2018-07-05,1115.3
2018-07-06,1118.4
2018-07-09,1117.8
2018-07-10,1112.3
2018-07-11,1113.8
2018-07-12,1120.8
2018-07-13,1127.8
2018-07-16,1123.4
2018-07-17,1128.7
2018-07-18,1125.2
2018-07-19,1128.9
2018-07-20,1131.2
2018-07-23,1134.8
2018-07-24,1128.5
2018-07-25,1135.2
2018-07-26,1127.5
2018-07-27,1119.6
2018-07-30,1120
2018-07-31,1116.7
2018-08-01,1117.9
2018-08-02,1119.3
2018-08-03,1122.6
2018-08-06,1128.1
2018-08-07,1123.5
2018-08-08,1125.7
2018-08-09,1118.8
2018-08-10,1117.9
2018-08-13,1126.3
2018-08-14,1133.7
2018-08-16,1132.1
2018-08-17,1130.7
2018-08-20,1125.6
2018-08-21,1121.7
2018-08-22,1118.2
2018-08-23,1118.7
2018-08-24,1120.8
2018-08-27,1121.8
2018-08-28,1114.3
2018-08-29,1110
2018-08-30,1108.8
2018-08-31,1108.8
2018-09-03,1113.3
2018-09-04,1113.5
2018-09-05,1114.2
2018-09-06,1117.6
2018-09-07,1121.2
2018-09-10,1123.1
2018-09-11,1128.1
2018-09-12,1126.8
2018-09-13,1127.3
2018-09-14,1121.2
2018-09-17,1119.2
2018-09-18,1126.2
2018-09-19,1126.3
2018-09-20,1123
2018-09-21,1119.9
2018-09-27,1116.6
2018-09-28,1112.7
2018-10-01,1110.2
2018-10-02,1110.9
2018-10-04,1116.4
2018-10-05,1128.3
2018-10-08,1130.7
2018-10-10,1131.7
2018-10-11,1132.5
2018-10-12,1142.5
2018-10-15,1133.3
2018-10-16,1133.4
2018-10-17,1128.1
2018-10-18,1125
2018-10-19,1132.6
2018-10-22,1134.3
2018-10-23,1130.9
2018-10-24,1135.8
2018-10-25,1132.2
2018-10-26,1138.5
2018-10-29,1140.6
2018-10-30,1138.6
2018-10-31,1140.6
2018-11-01,1139.2
2018-11-02,1138.8
2018-11-05,1125.5
2018-11-06,1122.7
2018-11-07,1122.5
2018-11-08,1120.9
2018-11-09,1118.4
2018-11-12,1125.7
2018-11-13,1132
2018-11-14,1135.7
2018-11-15,1132.4
2018-11-16,1130.3
2018-11-19,1128.7
2018-11-20,1127.4
2018-11-21,1127.5
2018-11-22,1131.3
2018-11-23,1129
2018-11-26,1130.5
2018-11-27,1129.9
2018-11-28,1129.7
2018-11-29,1128.9
2018-11-30,1121.8
2018-12-03,1120.3
2018-12-04,1113.7
2018-12-05,1109.8
2018-12-06,1113.6
2018-12-07,1117.8
2018-12-10,1118.2
2018-12-11,1124.7
2018-12-12,1129.4
2018-12-13,1127.6
2018-12-14,1124
2018-12-17,1129.2
2018-12-18,1131.6
2018-12-19,1129.9
2018-12-20,1125.1
2018-12-21,1128.9
2018-12-24,1123.9
2018-12-26,1125.2
2018-12-27,1125.6
2018-12-28,1121.3
2018-12-31,1118.1
2019-01-02,1118.1
2019-01-03,1119
2019-01-04,1127.5
2019-01-07,1125.2
2019-01-08,1118
2019-01-09,1121.7
2019-01-10,1121.6
2019-01-11,1118.9
2019-01-14,1117.6
2019-01-15,1121.4
2019-01-16,1120.1
2019-01-17,1122
2019-01-18,1121.4
2019-01-21,1121.3
2019-01-22,1126.5
2019-01-23,1130.2
2019-01-24,1128.2
2019-01-25,1128
2019-01-28,1125.1
2019-01-29,1116.9
2019-01-30,1118.1
2019-01-31,1117.2
2019-02-01,1111.6
2019-02-07,1116.8
2019-02-08,1123.4
2019-02-11,1124.5
2019-02-12,1124.5
2019-02-13,1124.6
2019-02-14,1121.7
2019-02-15,1125
2019-02-18,1127.7
2019-02-19,1124.7
